fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,0.127,BM16 BN128 BK64 GM16 SK16 w4 s2 | epi: BLK1024 w32 s1,0.1262,1.0006,2,o_proj GEMM,,BM16 BN128 BK64 GM4 SK16 w4 s2,residual add (elementwise),0.0053,BLK256 w1 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 1.0006, trimmed 0.9982, per-round p10-p90 0.9604-1.0264, fused faster in 51% of 300 rounds; within-window drift: fused -40.3%, unfused -39.1% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; unfused_k1_ms is EMPTY on purpose: bench_f01 times the unfused arm only as a chain (GEMM + epilogue), so the o_proj GEMM alone was never measured on this device; unfused_k2_ms is the epilogue's own tuned standalone best, behind its own L2 flush, so it does not sum to unfused_total_ms; SPLIT_K>1 (fused SK=16, unfused SK=16) adds an fp32 zero-init kernel to the chain -- both arms pay it, and n_unfused_kernels counts the GEMM and the epilogue only; vendor cuBLAS line on the same tensors: addmm(beta=1) 0.1085 ms vs mm+add 0.1086 ms -> 1.0006x (paired); triton fused is 0.854x the vendor fused time; MEASURED ON GPU b2318e71 (family f01), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.0593,BN4096 ROWS1 w32 s2,0.1251,2.1522,2,residual add,0.0081,BN2048 ROWS4 w8 s1,rmsnorm,0.0083,BN8192 ROWS2 w8 s2,,,,"FLAG(summary.json): ""DRIFT: paired 2.1522x vs ratio-of-medians 2.1090x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 2.152x vs modelled ceiling 1.250x""; paired statistic from the SAME interleaved run: paired per-round median 2.1522, trimmed 2.1571, per-round p10-p90 1.8632-2.4822, fused faster in 100% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 2.7% (order_gap_frac); within-window drift: fused -56.4%, unfused -45.8% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): none -- NOT offered: TMA, warp specialization, clusters (this kernel module advertises no cfg key for it); tuner budget per arm (timed/failed): fused 214/0, unfused 460/0 -- 0% of the fused arm's configs failed vs 0% of the unfused arm's; per-kernel times are each kernel's own tuned best, while the chain ran jointly re-tuned configs (add: BN4096 ROWS4 w16 s2 | norm: BN4096 ROWS1 w4 s1) -- a stage the unfused side gets and the fused side cannot use; fused output bitwise-identical to unfused: True; DRAM-traffic ceiling 1.25x (MODELLED), h1 (24576 B) fits this device's 60 MB L2: True; reference lines: torch eager 0.1555 ms, torch.compile 0.0569 ms; MEASURED ON GPU b2318e71 (family f03), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#5 RMSNorm + Router,F5,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1105,BM16 BK128 BE64 NBK256 w8 s2 WS,0.1557,1.4279,2,rmsnorm,0.0153,BM4 BK2048 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0346,BM16 BK64 BE256 w8 s4 CTAS2,,,,"FLAG(summary.json): ""ABOVE CEILING: 1.428x vs modelled ceiling 1.008x""; paired statistic from the SAME interleaved run: paired per-round median 1.4279, trimmed 1.4156, per-round p10-p90 1.2279-1.5866, fused faster in 98% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 7.4% (order_gap_frac); within-window drift: fused -33.9%, unfused -46.3% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM4 BK2048 BE256 EVICT1 w8 s2 | gemm: BM16 BK64 BE256 w8 s4 CTAS2); ceiling for this cell 1.008x, traffic_ratio_model 1.008x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0231 ms, bf16 0.0102 ms, torch reference chain 0.0825 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#5 RMSNorm + Router + TopK,F5_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1067,BM16 BK128 BE256 NBK256 w16 s3 WS,0.1918,1.7842,3,rmsnorm,0.0153,BM4 BK2048 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0346,BM16 BK64 BE256 w8 s4 CTAS2,sigmoid + noaux_tc top-8,0.0154,BM8 BK32 BE256 w8 s2,"FLAG(summary.json): ""ABOVE CEILING: 1.784x vs modelled ceiling 1.008x""; paired statistic from the SAME interleaved run: paired per-round median 1.7842, trimmed 1.8007, per-round p10-p90 1.2152-2.2788, fused faster in 94% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 6.8% (order_gap_frac); within-window drift: fused -33.3%, unfused -47.4% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM4 BK2048 BE256 EVICT1 w8 s2 | gemm: BM16 BK64 BE256 w8 s4 CTAS2 | topk: BM4 BK32 BE256 w8 s2); ceiling for this cell 1.008x, traffic_ratio_model 1.008x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0231 ms, bf16 0.0102 ms, torch reference chain 0.0825 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#4 ResAdd + RMSNorm + Router,F4,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1048,BM16 BK128 BE32 NBK256 w8 s2,0.1412,1.3682,2,add+rmsnorm (fusion #3 already applied),0.0154,BM1 BK1024 BE256 w1 s2,router GEMM (fp32),0.0346,BM16 BK64 BE256 w8 s4 CTAS2,,,,"FLAG(summary.json): ""ABOVE CEILING: 1.368x vs modelled ceiling 1.015x""; paired statistic from the SAME interleaved run: paired per-round median 1.3682, trimmed 1.3528, per-round p10-p90 0.8541-1.5945, fused faster in 85% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 7.0% (order_gap_frac); within-window drift: fused -32.6%, unfused -43.6% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM2 BK2048 BE256 EVICT1 w8 s2 | gemm: BM16 BK64 BE256 w8 s4 CTAS2); ceiling for this cell 1.015x, traffic_ratio_model 1.015x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0231 ms, bf16 0.0102 ms, torch reference chain 0.0948 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1069,BM16 BK128 BE256 w16 s3,0.1918,1.7263,3,add+rmsnorm (fusion #3 already applied),0.0154,BM1 BK1024 BE256 w1 s2,router GEMM (fp32),0.0346,BM16 BK64 BE256 w8 s4 CTAS2,sigmoid + noaux_tc top-8,0.0154,BM8 BK32 BE256 w8 s2,"FLAG(summary.json): ""DRIFT: paired 1.7263x vs ratio-of-medians 1.7943x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 1.726x vs modelled ceiling 1.015x""; paired statistic from the SAME interleaved run: paired per-round median 1.7263, trimmed 1.7128, per-round p10-p90 0.8314-2.3052, fused faster in 84% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 6.4% (order_gap_frac); within-window drift: fused -31.3%, unfused -53.7% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM2 BK2048 BE256 EVICT1 w8 s2 | gemm: BM16 BK64 BE256 w8 s4 CTAS2 | topk: BM4 BK32 BE256 w8 s2); ceiling for this cell 1.015x, traffic_ratio_model 1.015x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0231 ms, bf16 0.0102 ms, torch reference chain 0.0948 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#6 Up_Gate + SwiGLU,-,sglang fused_moe_kernel (GEMM1) + silu_and_mul,yes - GEMM + activation epilogue,0.1817,BM16 BN32 BK128 GM16 w2 s2 WS,0.1836,1.01,2,"w13 grouped GEMM -> [rows, 2I]",0.181,BM16 BN128 BK128 GM8 w4 s2 TMA,silu_and_mul,0.0056,BM1 BN512 w4 s2,,,,"paired statistic from the SAME interleaved run: paired per-round median 1.0100, trimmed 1.0100, per-round p10-p90 0.9981-1.0216, fused faster in 87% of 300 rounds; Hopper axes selected by the tuner: fused=warp-spec / unfused=TMA; tuner budget per arm (timed/failed): fused 222/60, unfused 489/26 -- 27% of the fused arm's configs failed vs 5% of the unfused arm's; per-kernel unfused times are measured at the SAME configs the chain ran (gemm_cfg / act_cfg), each behind its own L2 flush, so they need not sum to unfused_total_ms; SMEM: fused winner 40 KB, unfused winner 72 KB, the unfused winner's tile IF FUSED would need 136 KB against a 227 KB opt-in ceiling; kernel stats: fused regs 96 spills 0 smem 20480 B | unfused GEMM regs 95 spills 0 smem 36872 B; throughput: fused 4.4 TF/s, unfused 4.4 TF/s, vendor grouped BLAS 0.8009 ms (1.0 TF/s); MEASURED ON GPU b2318e71 (family f06), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,0.1279,gemm: BM16 BN256 BK128 GM4 w2 s2 TMA | seed: torch,0.1161,0.9795,2,"w2 grouped down GEMM -> [rows, H]",0.1052,BM16 BN128 BK128 GM8 w2 s2 TMA,moe_sum (expert merge over top-8),0.0057,BM2 BD256 w8 s2,,,,"FLAG(summary.json): ""DRIFT: paired 0.9795x vs ratio-of-medians 0.9079x differ by >2%; the machine moved during this cell""; paired statistic from the SAME interleaved run: paired per-round median 0.9795, trimmed 0.9677, per-round p10-p90 0.8775-1.0152, fused faster in 24% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 2.5% (order_gap_frac); within-window drift: fused -42.9%, unfused -43.2% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=TMA / unfused=TMA; tuner budget per arm (timed/failed): fused 237/41, unfused 364/26 -- 17% of the fused arm's configs failed vs 7% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0048 ms and the atomic GEMM alone 0.1066 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); atomic accumulator 24576 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 0.7881 ms, GEMM+merge 0.8048 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#8 Down + Expert Merge,token-major,none (custom),"partial - fused epilogue, but a different grid",0.1044,BM16 BN32 BK256 w2 s3 USE_DOT=True,0.119,1.0615,2,"w2 grouped down GEMM -> [rows, H]",0.1052,BM16 BN128 BK128 GM8 w2 s2 TMA,moe_sum (expert merge over top-8),0.0057,BM2 BD256 w8 s2,,,,"FLAG(summary.json): ""DRIFT: paired 1.0615x vs ratio-of-medians 1.1394x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 1.062x vs modelled ceiling 1.001x""; paired statistic from the SAME interleaved run: paired per-round median 1.0615, trimmed 1.1784, per-round p10-p90 1.0307-1.5607, fused faster in 97% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 13.4% (order_gap_frac); within-window drift: fused -31.5%, unfused -50.6% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=TMA; tuner budget per arm (timed/failed): fused 243/0, unfused 364/26 -- 0% of the fused arm's configs failed vs 7% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; scored against the EXPERT-major baseline; part of any win is the grid change, not the fusion (LOG-08 F3); atomic accumulator 24576 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 0.7881 ms, GEMM+merge 0.8048 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,0.1597,gemm: BM16 BN256 BK128 GM8 w2 s2 TMA | seed: torch,0.1623,1.0925,3,"w2 grouped down GEMM -> [rows, H]",0.1052,BM16 BN128 BK128 GM8 w2 s2 TMA,moe_sum (expert merge over top-8),0.0057,BM2 BD256 w8 s2,residual add 2,0.0056,BM1 BN512 w8 s1,"FLAG(summary.json): ""DRIFT: paired 1.0925x vs ratio-of-medians 1.0160x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 1.093x vs modelled ceiling 1.001x""; paired statistic from the SAME interleaved run: paired per-round median 1.0925, trimmed 1.0863, per-round p10-p90 0.8595-1.2590, fused faster in 79% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 2.6% (order_gap_frac); within-window drift: fused -38.0%, unfused -52.1% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=TMA / unfused=TMA; tuner budget per arm (timed/failed): fused 227/41, unfused 496/26 -- 18% of the fused arm's configs failed vs 5% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0048 ms and the atomic GEMM alone 0.1066 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); unfused_total is the 3-kernel chain, and the strictly better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 0.2141 ms -> speedup 1.3403x, which is the honest comparison; atomic accumulator 24576 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 0.7881 ms, GEMM+merge 0.8048 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
