fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,0.1368,BM16 BN128 BK64 GM8 SK16 w4 s2 WS | epi: BLK256 w1 s1,0.1338,0.9937,2,o_proj GEMM,,BM16 BN128 BK64 GM4 SK16 w4 s2,residual add (elementwise),0.0052,BLK256 w4 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 0.9937, trimmed 0.9857, per-round p10-p90 0.9377-1.0208, fused faster in 38% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 2.1% (order_gap_frac); within-window drift: fused -43.7%, unfused -42.5% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=warp-spec / unfused=none; unfused_k1_ms is EMPTY on purpose: bench_f01 times the unfused arm only as a chain (GEMM + epilogue), so the o_proj GEMM alone was never measured on this device; unfused_k2_ms is the epilogue's own tuned standalone best, behind its own L2 flush, so it does not sum to unfused_total_ms; SPLIT_K>1 (fused SK=16, unfused SK=16) adds an fp32 zero-init kernel to the chain -- both arms pay it, and n_unfused_kernels counts the GEMM and the epilogue only; tuner budget per arm (timed/failed): fused 247/0, unfused 247/0 -- 0% of the fused arm's configs failed vs 0% of the unfused arm's; vendor cuBLAS line on the same tensors: addmm(beta=1) 0.1076 ms vs mm+add 0.1086 ms -> 1.0095x (paired); triton fused is 0.786x the vendor fused time; MEASURED ON GPU b2318e71 (family f01), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.0658,BN8192 ROWS2 w32 s2,0.1407,2.1644,2,residual add,0.0068,BN2048 ROWS2 w8 s1,rmsnorm,0.0079,BN4096 ROWS1 w4 s1,,,,"FLAG(summary.json): ""ABOVE CEILING: 2.164x vs modelled ceiling 1.250x""; paired statistic from the SAME interleaved run: paired per-round median 2.1644, trimmed 2.1750, per-round p10-p90 1.8657-2.5325, fused faster in 100% of 300 rounds; within-window drift: fused -55.7%, unfused -44.4% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): none -- NOT offered: TMA, warp specialization, clusters (this kernel module advertises no cfg key for it); tuner budget per arm (timed/failed): fused 220/0, unfused 466/0 -- 0% of the fused arm's configs failed vs 0% of the unfused arm's; per-kernel times are each kernel's own tuned best, while the chain ran jointly re-tuned configs (add: BN2048 ROWS2 EVICT1 w8 s2 | norm: BN8192 ROWS2 w8 s1) -- a stage the unfused side gets and the fused side cannot use; fused output bitwise-identical to unfused: True; DRAM-traffic ceiling 1.25x (MODELLED), h1 (12288 B) fits this device's 60 MB L2: True; reference lines: torch eager 0.1562 ms, torch.compile 0.0459 ms; MEASURED ON GPU b2318e71 (family f03), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#5 RMSNorm + Router,F5,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1068,BM16 BK128 BE64 NBK256 w8 s2 WS,0.1519,1.4248,2,rmsnorm,0.0143,BM1 BK2048 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0345,BM16 BK64 BE256 w8 s4 CTAS2,,,,"FLAG(summary.json): ""ABOVE CEILING: 1.425x vs modelled ceiling 1.004x""; paired statistic from the SAME interleaved run: paired per-round median 1.4248, trimmed 1.4214, per-round p10-p90 1.2780-1.5524, fused faster in 98% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 5.3% (order_gap_frac); within-window drift: fused -38.4%, unfused -42.1% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=warp-spec / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM8 BK2048 BE256 w16 s2 | gemm: BM16 BK128 BE256 w4 s3); ceiling for this cell 1.004x, traffic_ratio_model 1.004x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0148 ms, bf16 0.0102 ms, torch reference chain 0.1519 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#5 RMSNorm + Router + TopK,F5_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1039,BM16 BK128 BE256 NBK256 w16 s3,0.1964,1.821,3,rmsnorm,0.0143,BM1 BK2048 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0345,BM16 BK64 BE256 w8 s4 CTAS2,sigmoid + noaux_tc top-8,0.0145,BM2 BK32 BE256 w16 s2,"FLAG(summary.json): ""DRIFT: paired 1.8210x vs ratio-of-medians 1.8897x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 1.821x vs modelled ceiling 1.004x""; paired statistic from the SAME interleaved run: paired per-round median 1.8210, trimmed 1.8299, per-round p10-p90 1.0928-2.2915, fused faster in 94% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 4.4% (order_gap_frac); within-window drift: fused -35.6%, unfused -52.8% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM1 BK2048 BE256 EVICT1 w8 s2 | gemm: BM16 BK128 BE256 w4 s3 | topk: BM2 BK32 BE256 w16 s2); ceiling for this cell 1.004x, traffic_ratio_model 1.004x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0148 ms, bf16 0.0102 ms, torch reference chain 0.1519 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#4 ResAdd + RMSNorm + Router,F4,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1115,BM16 BK128 BE32 NBK256 w8 s2,0.1581,1.4234,2,add+rmsnorm (fusion #3 already applied),0.0145,BM2 BK1024 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0345,BM16 BK64 BE256 w8 s4 CTAS2,,,,"FLAG(summary.json): ""ABOVE CEILING: 1.423x vs modelled ceiling 1.008x""; paired statistic from the SAME interleaved run: paired per-round median 1.4234, trimmed 1.4107, per-round p10-p90 1.1167-1.5684, fused faster in 92% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 5.0% (order_gap_frac); within-window drift: fused -41.3%, unfused -45.8% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM8 BK1024 BE256 w8 s2 | gemm: BM16 BK128 BE256 w4 s3); ceiling for this cell 1.008x, traffic_ratio_model 1.008x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0148 ms, bf16 0.0102 ms, torch reference chain 0.1865 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1053,BM16 BK128 BE256 w16 s3,0.182,1.6442,3,add+rmsnorm (fusion #3 already applied),0.0145,BM2 BK1024 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0345,BM16 BK64 BE256 w8 s4 CTAS2,sigmoid + noaux_tc top-8,0.0145,BM2 BK32 BE256 w16 s2,"FLAG(summary.json): ""DRIFT: paired 1.6442x vs ratio-of-medians 1.7286x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 1.644x vs modelled ceiling 1.008x""; paired statistic from the SAME interleaved run: paired per-round median 1.6442, trimmed 1.6273, per-round p10-p90 0.7694-2.1967, fused faster in 85% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 15.5% (order_gap_frac); within-window drift: fused -31.3%, unfused -55.7% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM2 BK1024 BE256 EVICT1 w8 s2 | gemm: BM16 BK128 BE256 w4 s3 | topk: BM8 BK32 BE256 w32 s2); ceiling for this cell 1.008x, traffic_ratio_model 1.008x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0148 ms, bf16 0.0102 ms, torch reference chain 0.1865 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#6 Up_Gate + SwiGLU,-,sglang fused_moe_kernel (GEMM1) + silu_and_mul,yes - GEMM + activation epilogue,0.1049,BM16 BN64 BK128 GM8 w4 s4,0.1086,1.0339,2,"w13 grouped GEMM -> [rows, 2I]",0.1266,BM16 BN128 BK128 GM1 w4 s4,silu_and_mul,0.0152,BM1 BN512 w4 s2,,,,"FLAG(summary.json): ""ABOVE CEILING: 1.034x vs modelled ceiling 1.000x""; paired statistic from the SAME interleaved run: paired per-round median 1.0339, trimmed 1.0314, per-round p10-p90 0.9759-1.0770, fused faster in 85% of 300 rounds; within-window drift: fused -33.3%, unfused -33.2% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; tuner budget per arm (timed/failed): fused 222/56, unfused 492/26 -- 25% of the fused arm's configs failed vs 5% of the unfused arm's; per-kernel unfused times are measured at the SAME configs the chain ran (gemm_cfg / act_cfg), each behind its own L2 flush, so they need not sum to unfused_total_ms; SMEM: fused winner 144 KB, unfused winner 144 KB, the unfused winner's tile IF FUSED would need 272 KB against a 227 KB opt-in ceiling -- so the fused side still cannot reach the unfused winner's tile, the same constraint C500 hit at a 4x smaller ceiling; kernel stats: fused regs 96 spills 0 smem 110592 B | unfused GEMM regs 96 spills 0 smem 110592 B; throughput: fused 3.8 TF/s, unfused 3.7 TF/s, vendor grouped BLAS 0.4585 ms (0.9 TF/s); MEASURED ON GPU b2318e71 (family f06), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,0.1211,gemm: BM16 BN128 BK128 GM8 w4 s2 TMA | seed: torch,0.1336,1.1023,2,"w2 grouped down GEMM -> [rows, H]",0.061,BM16 BN128 BK128 GM8 w2 s2 TMA,moe_sum (expert merge over top-8),0.0055,BM2 BD256 w8 s1,,,,"FLAG(summary.json): ""ABOVE CEILING: 1.102x vs modelled ceiling 1.001x""; paired statistic from the SAME interleaved run: paired per-round median 1.1023, trimmed 1.1026, per-round p10-p90 0.9657-1.2773, fused faster in 79% of 300 rounds; within-window drift: fused -42.1%, unfused -55.7% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=TMA / unfused=TMA; tuner budget per arm (timed/failed): fused 250/40, unfused 364/26 -- 16% of the fused arm's configs failed vs 7% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0048 ms and the atomic GEMM alone 0.0613 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); atomic accumulator 12288 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 0.4150 ms, GEMM+merge 0.4344 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#8 Down + Expert Merge,token-major,none (custom),"partial - fused epilogue, but a different grid",0.0874,BM16 BN64 BK128 w32 s2 USE_DOT=False,0.1511,1.6936,2,"w2 grouped down GEMM -> [rows, H]",0.061,BM16 BN128 BK128 GM8 w2 s2 TMA,moe_sum (expert merge over top-8),0.0055,BM2 BD256 w8 s1,,,,"FLAG(summary.json): ""DRIFT: paired 1.6936x vs ratio-of-medians 1.7290x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 1.694x vs modelled ceiling 1.001x""; paired statistic from the SAME interleaved run: paired per-round median 1.6936, trimmed 1.6987, per-round p10-p90 1.3541-1.9837, fused faster in 100% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 11.8% (order_gap_frac); within-window drift: fused -32.4%, unfused -43.0% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=TMA; tuner budget per arm (timed/failed): fused 243/0, unfused 364/26 -- 0% of the fused arm's configs failed vs 7% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; scored against the EXPERT-major baseline; part of any win is the grid change, not the fusion (LOG-08 F3); atomic accumulator 12288 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 0.4150 ms, GEMM+merge 0.4344 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,0.1227,gemm: BM16 BN128 BK128 GM8 w4 s2 TMA | seed: torch,0.1672,1.3866,3,"w2 grouped down GEMM -> [rows, H]",0.061,BM16 BN128 BK128 GM8 w2 s2 TMA,moe_sum (expert merge over top-8),0.0055,BM2 BD256 w8 s1,residual add 2,0.0054,BM1 BN512 w4 s2,"FLAG(summary.json): ""ABOVE CEILING: 1.387x vs modelled ceiling 1.001x""; paired statistic from the SAME interleaved run: paired per-round median 1.3866, trimmed 1.3854, per-round p10-p90 1.2674-1.5254, fused faster in 100% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 5.0% (order_gap_frac); within-window drift: fused -35.5%, unfused -43.8% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=TMA / unfused=TMA; tuner budget per arm (timed/failed): fused 240/40, unfused 496/26 -- 17% of the fused arm's configs failed vs 5% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; this row's own unfused chain ran a different GEMM mapping (BM16 BN128 BK128 GM8 w4 s2 TMA), so unfused_k1_ms is not a decomposition of this row's unfused_total_ms; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0048 ms and the atomic GEMM alone 0.0613 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); unfused_total is the 3-kernel chain, and the strictly better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 0.1907 ms -> speedup 1.5541x, which is the honest comparison; atomic accumulator 12288 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 0.4150 ms, GEMM+merge 0.4344 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
