fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,0.1083,BM16 BN128 BK64 GM8 SK16 w4 s2 WS,0.109,1.0071,2,o_proj GEMM,,BM16 BN128 BK64 GM8 SK8 w4 s3,residual add (elementwise),0.0056,BLK256 w1 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 1.0071, trimmed 1.0068, per-round p10-p90 0.9918-1.0203, fused faster in 76% of 300 rounds; hwinfo bracket flagged the measurement window SUSPECT: SM clock moved +8.2% (1830 -> 1980 MHz); Hopper axes selected by the tuner: fused=warp-spec / unfused=none; unfused_k1_ms is EMPTY on purpose: bench_f01 times the unfused arm only as a chain (GEMM + epilogue), so the o_proj GEMM alone was never measured on this device; unfused_k2_ms is the epilogue's own tuned standalone best, behind its own L2 flush, so it does not sum to unfused_total_ms; SPLIT_K>1 (fused SK=16, unfused SK=8) adds an fp32 zero-init kernel to the chain -- both arms pay it, and n_unfused_kernels counts the GEMM and the epilogue only; vendor cuBLAS line on the same tensors: addmm(beta=1) 0.1090 ms vs mm+add 0.1087 ms -> 0.9965x (paired); triton fused is 1.007x the vendor fused time; MEASURED ON GPU b2318e71 (family f01), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.0569,BN8192 ROWS1 EVICT1 w16 s1,0.1231,2.1543,2,residual add,0.0093,BN8192 ROWS1 w32 s2,rmsnorm,0.0096,BN8192 ROWS2 w8 s2,,,,"FLAG(summary.json): ""ABOVE CEILING: 2.154x vs modelled ceiling 1.250x""; paired statistic from the SAME interleaved run: paired per-round median 2.1543, trimmed 2.1688, per-round p10-p90 1.8367-2.5615, fused faster in 100% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 2.8% (order_gap_frac); within-window drift: fused -56.6%, unfused -45.1% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): none -- NOT offered: TMA, warp specialization, clusters (this kernel module advertises no cfg key for it); tuner budget per arm (timed/failed): fused 230/0, unfused 410/0 -- 0% of the fused arm's configs failed vs 0% of the unfused arm's; per-kernel times are each kernel's own tuned best, while the chain ran jointly re-tuned configs (add: BN8192 ROWS1 w32 s2 | norm: BN8192 ROWS2 w8 s2) -- a stage the unfused side gets and the fused side cannot use; fused output bitwise-identical to unfused: True; DRAM-traffic ceiling 1.25x (MODELLED), h1 (98304 B) fits this device's 60 MB L2: True; reference lines: torch eager 0.1404 ms, torch.compile 0.0631 ms; MEASURED ON GPU b2318e71 (family f03), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#5 RMSNorm + Router,F5,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1043,BM16 BK128 BE64 NBK256 w8 s2 WS,0.14,1.3589,2,rmsnorm,0.015,BM8 BK2048 BE256 w8 s2,router GEMM (fp32),0.0346,BM16 BK64 BE256 w8 s4 CTAS2,,,,"FLAG(summary.json): ""ABOVE CEILING: 1.359x vs modelled ceiling 1.029x""; paired statistic from the SAME interleaved run: paired per-round median 1.3589, trimmed 1.3516, per-round p10-p90 0.8881-1.5637, fused faster in 88% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 7.3% (order_gap_frac); within-window drift: fused -39.5%, unfused -48.5% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM1 BK1024 BE256 EVICT1 w8 s2 | gemm: BM16 BK64 BE256 w8 s4 CTAS2); ceiling for this cell 1.029x, traffic_ratio_model 1.029x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0317 ms, bf16 0.0103 ms, torch reference chain 0.0908 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#5 RMSNorm + Router + TopK,F5_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1084,BM16 BK128 BE256 NBK256 w16 s3,0.1958,1.8027,3,rmsnorm,0.015,BM8 BK2048 BE256 w8 s2,router GEMM (fp32),0.0346,BM16 BK64 BE256 w8 s4 CTAS2,sigmoid + noaux_tc top-8,0.0159,BM1 BK32 BE256 w32 s2,"FLAG(summary.json): ""ABOVE CEILING: 1.803x vs modelled ceiling 1.029x""; paired statistic from the SAME interleaved run: paired per-round median 1.8027, trimmed 1.8125, per-round p10-p90 1.2603-2.3458, fused faster in 96% of 300 rounds; within-window drift: fused -30.7%, unfused -43.4% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM1 BK1024 BE256 EVICT1 w8 s2 | gemm: BM16 BK64 BE256 w8 s4 CTAS2 | topk: BM1 BK32 BE256 w32 s2); ceiling for this cell 1.029x, traffic_ratio_model 1.029x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0317 ms, bf16 0.0103 ms, torch reference chain 0.0908 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#4 ResAdd + RMSNorm + Router,F4,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1123,BM16 BK128 BE32 NBK256 w8 s2,0.1543,1.3784,2,add+rmsnorm (fusion #3 already applied),0.0161,BM8 BK2048 BE256 w32 s2,router GEMM (fp32),0.0346,BM16 BK64 BE256 w8 s4 CTAS2,,,,"FLAG(summary.json): ""ABOVE CEILING: 1.378x vs modelled ceiling 1.055x""; paired statistic from the SAME interleaved run: paired per-round median 1.3784, trimmed 1.3781, per-round p10-p90 0.9921-1.6308, fused faster in 90% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 8.4% (order_gap_frac); within-window drift: fused -36.0%, unfused -44.3% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM4 BK2048 BE256 w8 s2 | gemm: BM16 BK64 BE256 w8 s4 CTAS2); ceiling for this cell 1.055x, traffic_ratio_model 1.055x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0317 ms, bf16 0.0103 ms, torch reference chain 0.1036 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1044,BM16 BK128 BE256 w16 s3,0.1765,1.6088,3,add+rmsnorm (fusion #3 already applied),0.0161,BM8 BK2048 BE256 w32 s2,router GEMM (fp32),0.0346,BM16 BK64 BE256 w8 s4 CTAS2,sigmoid + noaux_tc top-8,0.0159,BM1 BK32 BE256 w32 s2,"FLAG(summary.json): ""DRIFT: paired 1.6088x vs ratio-of-medians 1.6903x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 1.609x vs modelled ceiling 1.055x""; paired statistic from the SAME interleaved run: paired per-round median 1.6088, trimmed 1.5603, per-round p10-p90 0.6327-2.2511, fused faster in 81% of 300 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 28.3% (order_gap_frac); within-window drift: fused -30.1%, unfused -60.6% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM4 BK2048 BE256 w8 s2 | gemm: BM16 BK64 BE256 w8 s4 CTAS2 | topk: BM1 BK32 BE256 w32 s2); ceiling for this cell 1.055x, traffic_ratio_model 1.055x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0317 ms, bf16 0.0103 ms, torch reference chain 0.1036 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#6 Up_Gate + SwiGLU,-,sglang fused_moe_kernel (GEMM1) + silu_and_mul,yes - GEMM + activation epilogue,0.6162,BM16 BN32 BK128 GM8 w4 s4,0.6206,1.0072,2,"w13 grouped GEMM -> [rows, 2I]",0.6175,BM16 BN128 BK128 GM4 w2 s3 CTAS2,silu_and_mul,0.0059,BM2 BN512 w8 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 1.0072, trimmed 1.0078, per-round p10-p90 1.0034-1.0137, fused faster in 98% of 300 rounds; Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); tuner budget per arm (timed/failed): fused 222/56, unfused 497/28 -- 25% of the fused arm's configs failed vs 6% of the unfused arm's; per-kernel unfused times are measured at the SAME configs the chain ran (gemm_cfg / act_cfg), each behind its own L2 flush, so they need not sum to unfused_total_ms; SMEM: fused winner 80 KB, unfused winner 108 KB, the unfused winner's tile IF FUSED would need 204 KB against a 227 KB opt-in ceiling; kernel stats: fused regs 63 spills 0 smem 61440 B | unfused GEMM regs 100 spills 0 smem 40960 B; throughput: fused 5.2 TF/s, unfused 5.2 TF/s, vendor grouped BLAS 3.0633 ms (1.1 TF/s); MEASURED ON GPU b2318e71 (family f06), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,0.3513,gemm: BM16 BN128 BK128 GM8 w16 s3 | seed: torch,0.3501,0.997,2,"w2 grouped down GEMM -> [rows, H]",0.3465,BM16 BN64 BK128 GM8 w4 s3 CTAS2,moe_sum (expert merge over top-8),0.0058,BM2 BD256 w8 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 0.9970, trimmed 0.9967, per-round p10-p90 0.9900-1.0031, fused faster in 23% of 300 rounds; Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); tuner budget per arm (timed/failed): fused 254/40, unfused 372/28 -- 16% of the fused arm's configs failed vs 8% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0047 ms and the atomic GEMM alone 0.3493 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); atomic accumulator 98304 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 3.0301 ms, GEMM+merge 3.0567 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#8 Down + Expert Merge,token-major,none (custom),"partial - fused epilogue, but a different grid",0.3617,BM16 BN64 BK256 w4 s2 USE_DOT=True,0.3499,0.9673,2,"w2 grouped down GEMM -> [rows, H]",0.3465,BM16 BN64 BK128 GM8 w4 s3 CTAS2,moe_sum (expert merge over top-8),0.0058,BM2 BD256 w8 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 0.9673, trimmed 0.9670, per-round p10-p90 0.9596-0.9747, fused faster in 0% of 300 rounds; Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); tuner budget per arm (timed/failed): fused 243/0, unfused 372/28 -- 0% of the fused arm's configs failed vs 8% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; scored against the EXPERT-major baseline; part of any win is the grid change, not the fusion (LOG-08 F3); atomic accumulator 98304 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 3.0301 ms, GEMM+merge 3.0567 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,0.3522,gemm: BM16 BN128 BK128 GM8 w16 s3 | seed: BM1 BN512 w8 s2,0.3526,1.0012,3,"w2 grouped down GEMM -> [rows, H]",0.3465,BM16 BN64 BK128 GM8 w4 s3 CTAS2,moe_sum (expert merge over top-8),0.0058,BM2 BD256 w8 s1,residual add 2,0.0055,BM1 BN512 w4 s2,"paired statistic from the SAME interleaved run: paired per-round median 1.0012, trimmed 1.0013, per-round p10-p90 0.9945-1.0079, fused faster in 57% of 300 rounds; Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); tuner budget per arm (timed/failed): fused 244/40, unfused 504/28 -- 16% of the fused arm's configs failed vs 6% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; this row's own unfused chain ran a different GEMM mapping (BM16 BN64 BK128 GM8 w2 s3 CTAS2), so unfused_k1_ms is not a decomposition of this row's unfused_total_ms; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0047 ms and the atomic GEMM alone 0.3493 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); unfused_total is the 3-kernel chain, and the strictly better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 0.3499 ms -> speedup 0.9933x, which is the honest comparison; atomic accumulator 98304 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 3.0301 ms, GEMM+merge 3.0567 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
