fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,0.2123,BM64 BN128 BK64 GM8 SK2 w8 s3 TMA WS,0.2088,1.0006,2,o_proj GEMM,,BM64 BN128 BK64 GM8 SK2 w8 s3 TMA WS,residual add (elementwise),0.0089,BLK1024 w1 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 1.0006, trimmed 1.0012, per-round p10-p90 0.9083-1.0939, fused faster in 51% of 200 rounds; within-window drift: fused -23.3%, unfused -23.2% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=TMA, warp-spec / unfused=TMA, warp-spec; unfused_k1_ms is EMPTY on purpose: bench_f01 times the unfused arm only as a chain (GEMM + epilogue), so the o_proj GEMM alone was never measured on this device; unfused_k2_ms is the epilogue's own tuned standalone best, behind its own L2 flush, so it does not sum to unfused_total_ms; SPLIT_K>1 (fused SK=2, unfused SK=2) adds an fp32 zero-init kernel to the chain -- both arms pay it, and n_unfused_kernels counts the GEMM and the epilogue only; tuner budget per arm (timed/failed): fused 251/1, unfused 251/14 -- 0% of the fused arm's configs failed vs 6% of the unfused arm's; vendor cuBLAS line on the same tensors: addmm(beta=1) 0.1620 ms vs mm+add 0.1598 ms -> 0.9862x (paired); triton fused is 0.763x the vendor fused time; MEASURED ON GPU b2318e71 (family f01), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.0732,BN8192 ROWS1 EVICT1 w8 s1,0.1523,2.0325,2,residual add,0.0083,BN8192 ROWS4 w32 s1,rmsnorm,0.008,BN8192 ROWS1 w8 s1,,,,"FLAG(summary.json): ""DRIFT: paired 2.0325x vs ratio-of-medians 2.0814x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 2.033x vs modelled ceiling 1.250x""; paired statistic from the SAME interleaved run: paired per-round median 2.0325, trimmed 2.0324, per-round p10-p90 1.8600-2.2490, fused faster in 100% of 200 rounds; within-window drift: fused -45.3%, unfused -39.6% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): none -- NOT offered: TMA, warp specialization, clusters (this kernel module advertises no cfg key for it); tuner budget per arm (timed/failed): fused 230/0, unfused 426/0 -- 0% of the fused arm's configs failed vs 0% of the unfused arm's; per-kernel times are each kernel's own tuned best, while the chain ran jointly re-tuned configs (add: BN4096 ROWS4 w32 s1 | norm: BN8192 ROWS2 w16 s2) -- a stage the unfused side gets and the fused side cannot use; fused output bitwise-identical to unfused: True; DRAM-traffic ceiling 1.25x (MODELLED), h1 (3145728 B) fits this device's 60 MB L2: True; reference lines: torch eager 0.1733 ms, torch.compile 0.0932 ms; MEASURED ON GPU b2318e71 (family f03), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#5 RMSNorm + Router,F5,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1337,BM16 BK128 BE32 NBK256 w8 s2,0.2062,1.5502,2,rmsnorm,0.0185,BM2 BK2048 BE256 w16 s2,router GEMM (fp32),0.0355,BM16 BK64 BE256 w8 s4 CTAS2,,,,"FLAG(summary.json): ""ABOVE CEILING: 1.550x vs modelled ceiling 1.324x""; paired statistic from the SAME interleaved run: paired per-round median 1.5502, trimmed 1.5490, per-round p10-p90 1.4193-1.7080, fused faster in 100% of 200 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 3.5% (order_gap_frac); within-window drift: fused -30.5%, unfused -36.6% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM1 BK2048 BE256 w4 s2 | gemm: BM16 BK128 BE256 w4 s3); ceiling for this cell 1.324x, traffic_ratio_model 1.324x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0444 ms, bf16 0.0114 ms, torch reference chain 0.1660 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#5 RMSNorm + Router + TopK,F5_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1349,BM16 BK128 BE256 w16 s3,0.2634,1.9651,3,rmsnorm,0.0185,BM2 BK2048 BE256 w16 s2,router GEMM (fp32),0.0355,BM16 BK64 BE256 w8 s4 CTAS2,sigmoid + noaux_tc top-8,0.0186,BM16 BK32 BE256 w16 s2,"FLAG(summary.json): ""ABOVE CEILING: 1.965x vs modelled ceiling 1.324x""; paired statistic from the SAME interleaved run: paired per-round median 1.9651, trimmed 1.9894, per-round p10-p90 1.7313-2.2709, fused faster in 100% of 200 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 15.4% (order_gap_frac); within-window drift: fused -23.2%, unfused -36.8% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM1 BK2048 BE256 w4 s2 | gemm: BM16 BK128 BE256 w4 s3 | topk: BM16 BK32 BE256 w16 s2); ceiling for this cell 1.324x, traffic_ratio_model 1.324x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0444 ms, bf16 0.0114 ms, torch reference chain 0.1660 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#4 ResAdd + RMSNorm + Router,F4,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1302,BM16 BK128 BE32 NBK256 w8 s2,0.1874,1.4593,2,add+rmsnorm (fusion #3 already applied),0.0196,BM2 BK2048 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0355,BM16 BK64 BE256 w8 s4 CTAS2,,,,"FLAG(summary.json): ""ABOVE CEILING: 1.459x vs modelled ceiling 1.393x""; paired statistic from the SAME interleaved run: paired per-round median 1.4593, trimmed 1.4674, per-round p10-p90 1.3581-1.5941, fused faster in 100% of 200 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 4.9% (order_gap_frac); within-window drift: fused -34.1%, unfused -39.2% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM8 BK2048 BE256 EVICT1 w8 s2 | gemm: BM16 BK128 BE256 w4 s3); ceiling for this cell 1.393x, traffic_ratio_model 1.393x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0444 ms, bf16 0.0114 ms, torch reference chain 0.2007 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1307,BM16 BK128 BE256 w16 s3,0.2343,1.8637,3,add+rmsnorm (fusion #3 already applied),0.0196,BM2 BK2048 BE256 EVICT1 w8 s2,router GEMM (fp32),0.0355,BM16 BK64 BE256 w8 s4 CTAS2,sigmoid + noaux_tc top-8,0.0186,BM16 BK32 BE256 w16 s2,"FLAG(summary.json): ""DRIFT: paired 1.8637x vs ratio-of-medians 1.7929x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 1.864x vs modelled ceiling 1.393x""; paired statistic from the SAME interleaved run: paired per-round median 1.8637, trimmed 1.8717, per-round p10-p90 1.4435-2.2120, fused faster in 100% of 200 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 15.1% (order_gap_frac); within-window drift: fused -36.3%, unfused -46.7% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM8 BK2048 BE256 EVICT1 w8 s2 | gemm: BM16 BK128 BE256 w4 s3 | topk: BM16 BK32 BE256 w16 s2); ceiling for this cell 1.393x, traffic_ratio_model 1.393x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.0444 ms, bf16 0.0114 ms, torch reference chain 0.2007 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#6 Up_Gate + SwiGLU,-,sglang fused_moe_kernel (GEMM1) + silu_and_mul,yes - GEMM + activation epilogue,2.8204,BM16 BN32 BK128 GM8 w4 s5,2.837,1.006,2,"w13 grouped GEMM -> [rows, 2I]",2.8278,BM16 BN128 BK128 GM1 w4 s4,silu_and_mul,0.0127,BM2 BN2048 w8 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 1.0060, trimmed 1.0058, per-round p10-p90 1.0041-1.0074, fused faster in 100% of 200 rounds; Hopper axes selected by the tuner: fused=none / unfused=none; tuner budget per arm (timed/failed): fused 222/56, unfused 492/26 -- 25% of the fused arm's configs failed vs 5% of the unfused arm's; per-kernel unfused times are measured at the SAME configs the chain ran (gemm_cfg / act_cfg), each behind its own L2 flush, so they need not sum to unfused_total_ms; SMEM: fused winner 100 KB, unfused winner 144 KB, the unfused winner's tile IF FUSED would need 272 KB against a 227 KB opt-in ceiling -- so the fused side still cannot reach the unfused winner's tile, the same constraint C500 hit at a 4x smaller ceiling; kernel stats: fused regs 63 spills 0 smem 81920 B | unfused GEMM regs 96 spills 0 smem 110592 B; throughput: fused 36.5 TF/s, unfused 36.3 TF/s, vendor grouped BLAS 15.9375 ms (6.5 TF/s); MEASURED ON GPU b2318e71 (family f06), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,1.4562,gemm: BM16 BN128 BK128 GM8 w8 s2 WS | seed: torch,1.4573,1.0007,2,"w2 grouped down GEMM -> [rows, H]",1.4459,BM16 BN256 BK128 GM1 w8 s2 WS,moe_sum (expert merge over top-8),0.0155,BM2 BD256 w2 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 1.0007, trimmed 1.0007, per-round p10-p90 0.9988-1.0028, fused faster in 68% of 200 rounds; Hopper axes selected by the tuner: fused=warp-spec / unfused=warp-spec; tuner budget per arm (timed/failed): fused 238/44, unfused 365/30 -- 18% of the fused arm's configs failed vs 8% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0059 ms and the atomic GEMM alone 1.4520 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); atomic accumulator 3145728 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 13.8431 ms, GEMM+merge 13.9148 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#8 Down + Expert Merge,token-major,none (custom),"partial - fused epilogue, but a different grid",10.9021,BM16 BN32 BK512 w2 s3 USE_DOT=True,1.4581,0.1338,2,"w2 grouped down GEMM -> [rows, H]",1.4459,BM16 BN256 BK128 GM1 w8 s2 WS,moe_sum (expert merge over top-8),0.0155,BM2 BD256 w2 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 0.1338, trimmed 0.1338, per-round p10-p90 0.1335-0.1340, fused faster in 0% of 200 rounds; hwinfo bracket flagged the measurement window SUSPECT: new throttle reasons: SwPowerCap; Hopper axes selected by the tuner: fused=none / unfused=warp-spec; tuner budget per arm (timed/failed): fused 243/0, unfused 365/30 -- 0% of the fused arm's configs failed vs 8% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; scored against the EXPERT-major baseline; part of any win is the grid change, not the fusion (LOG-08 F3); atomic accumulator 3145728 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 13.8431 ms, GEMM+merge 13.9148 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,1.4571,gemm: BM16 BN128 BK128 GM8 w8 s2 WS | seed: torch,1.4636,1.0046,3,"w2 grouped down GEMM -> [rows, H]",1.4459,BM16 BN256 BK128 GM1 w8 s2 WS,moe_sum (expert merge over top-8),0.0155,BM2 BD256 w2 s1,residual add 2,0.0091,BM2 BN512 w8 s2,"paired statistic from the SAME interleaved run: paired per-round median 1.0046, trimmed 1.0046, per-round p10-p90 1.0026-1.0067, fused faster in 99% of 200 rounds; Hopper axes selected by the tuner: fused=warp-spec / unfused=warp-spec; tuner budget per arm (timed/failed): fused 228/44, unfused 497/30 -- 19% of the fused arm's configs failed vs 6% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0059 ms and the atomic GEMM alone 1.4520 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); unfused_total is the 3-kernel chain, and the strictly better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 1.4572 ms -> speedup 1.0000x, which is the honest comparison; atomic accumulator 3145728 B, fits this device's 60 MB L2: True; vendor grouped BLAS GEMM 13.8431 ms, GEMM+merge 13.9148 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us; at decode that floor is a large share of the measurement (it is added to BOTH arms, so a ratio understates the true work ratio), which is why the decode numbers here should be read as bounds rather than exact"
