fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,2.5349,BM256 BN128 BK64 GM1 SK1 w8 s4 TMA WS,2.567,1.0128,2,o_proj GEMM,,BM256 BN128 BK32 GM1 SK1 w8 s4 WS,residual add (elementwise),0.0764,BLK2048 w4 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 1.0128, trimmed 1.0128, per-round p10-p90 1.0114-1.0140, fused faster in 98% of 60 rounds; Hopper axes selected by the tuner: fused=TMA, warp-spec / unfused=warp-spec; unfused_k1_ms is EMPTY on purpose: bench_f01 times the unfused arm only as a chain (GEMM + epilogue), so the o_proj GEMM alone was never measured on this device; unfused_k2_ms is the epilogue's own tuned standalone best, behind its own L2 flush, so it does not sum to unfused_total_ms; tuner budget per arm (timed/failed): fused 249/7, unfused 251/18 -- 3% of the fused arm's configs failed vs 7% of the unfused arm's; vendor cuBLAS line on the same tensors: addmm(beta=1) 2.4491 ms vs mm+add 2.4618 ms -> 1.0054x (paired); triton fused is 0.966x the vendor fused time; MEASURED ON GPU b2318e71 (family f01), harness floor +36.914 us"
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.1621,BN8192 ROWS1 w16 s2,0.2096,1.3287,2,residual add,0.0762,BN8192 ROWS2 w16 s2,rmsnorm,0.0542,BN8192 ROWS1 w8 s2,,,,"FLAG(summary.json): ""DRIFT: paired 1.3287x vs ratio-of-medians 1.2931x differ by >2%; the machine moved during this cell""; FLAG(summary.json): ""ABOVE CEILING: 1.329x vs modelled ceiling 1.250x""; paired statistic from the SAME interleaved run: paired per-round median 1.3287, trimmed 1.3360, per-round p10-p90 1.2619-1.4575, fused faster in 97% of 60 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 3.5% (order_gap_frac); within-window drift: fused -16.4%, unfused -10.7% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=none; axes the tuner was OFFERED for this family (fairness.h200_axes): none -- NOT offered: TMA, warp specialization, clusters (this kernel module advertises no cfg key for it); tuner budget per arm (timed/failed): fused 210/0, unfused 438/0 -- 0% of the fused arm's configs failed vs 0% of the unfused arm's; per-kernel times are each kernel's own tuned best, while the chain ran jointly re-tuned configs (add: BN8192 ROWS2 w16 s1 | norm: BN8192 ROWS1 w8 s2) -- a stage the unfused side gets and the fused side cannot use; fused output bitwise-identical to unfused: False; DRAM-traffic ceiling 1.25x (MODELLED), h1 (100663296 B) fits this device's 60 MB L2: False; reference lines: torch eager 0.7245 ms, torch.compile 0.1051 ms; MEASURED ON GPU b2318e71 (family f03), harness floor +36.914 us"
#5 RMSNorm + Router,F5,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.2398,BM32 BK128 BE256 EVICT1 w8 s2 WS,0.2605,1.1433,2,rmsnorm,0.0637,BM4 BK2048 BE256 w8 s2,router GEMM (fp32),0.0709,BM64 BK128 BE128 w8 s2 WS,,,,"FLAG(summary.json): ""DRIFT: paired 1.1433x vs ratio-of-medians 1.0865x differ by >2%; the machine moved during this cell""; paired statistic from the SAME interleaved run: paired per-round median 1.1433, trimmed 1.1382, per-round p10-p90 1.0700-1.2105, fused faster in 97% of 60 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 3.8% (order_gap_frac); within-window drift: fused -19.8%, unfused -11.4% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=warp-spec / unfused=warp-spec; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM4 BK2048 BE256 w8 s2 | gemm: BM64 BK128 BE128 w8 s2 WS); ceiling for this cell 1.654x, traffic_ratio_model 1.473x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.6515 ms, bf16 0.0438 ms, torch reference chain 1.4588 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us"
#5 RMSNorm + Router + TopK,F5_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.2479,BM32 BK128 BE256 EVICT1 w8 s2 WS,0.3124,1.3843,3,rmsnorm,0.0637,BM4 BK2048 BE256 w8 s2,router GEMM (fp32),0.0709,BM64 BK128 BE128 w8 s2 WS,sigmoid + noaux_tc top-8,0.0207,BM2 BK32 BE256 w1 s2,"FLAG(summary.json): ""DRIFT: paired 1.3843x vs ratio-of-medians 1.2598x differ by >2%; the machine moved during this cell""; paired statistic from the SAME interleaved run: paired per-round median 1.3843, trimmed 1.4031, per-round p10-p90 1.0610-1.7329, fused faster in 95% of 60 rounds; within-window drift: fused -25.0%, unfused -16.7% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=warp-spec / unfused=warp-spec; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM8 BK2048 BE256 w8 s2 | gemm: BM64 BK128 BE128 w8 s2 WS | topk: BM1 BK32 BE256 w1 s2); ceiling for this cell 1.654x, traffic_ratio_model 1.473x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.6515 ms, bf16 0.0438 ms, torch reference chain 1.4588 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us"
#4 ResAdd + RMSNorm + Router,F4,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.3033,BM32 BK128 BE256 w8 s2,0.2309,0.8265,2,add+rmsnorm (fusion #3 already applied),0.1036,BM1 BK2048 BE256 w8 s2,router GEMM (fp32),0.0709,BM64 BK128 BE128 w8 s2 WS,,,,"FLAG(summary.json): ""DRIFT: paired 0.8265x vs ratio-of-medians 0.7613x differ by >2%; the machine moved during this cell""; paired statistic from the SAME interleaved run: paired per-round median 0.8265, trimmed 0.8277, per-round p10-p90 0.7917-0.8866, fused faster in 2% of 60 rounds; within-window drift: fused -16.9%, unfused -10.4% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=warp-spec; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 557/208, unfused 323/14 -- 37% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM1 BK2048 BE256 w8 s2 | gemm: BM64 BK128 BE128 w8 s2 WS); ceiling for this cell 1.579x, traffic_ratio_model 1.486x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.6515 ms, bf16 0.0438 ms, torch reference chain 1.9658 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us"
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.2965,BM32 BK128 BE256 w8 s2,0.2306,0.9651,3,add+rmsnorm (fusion #3 already applied),0.1036,BM1 BK2048 BE256 w8 s2,router GEMM (fp32),0.0709,BM64 BK128 BE128 w8 s2 WS,sigmoid + noaux_tc top-8,0.0207,BM2 BK32 BE256 w1 s2,"FLAG(summary.json): ""DRIFT: paired 0.9651x vs ratio-of-medians 0.7777x differ by >2%; the machine moved during this cell""; paired statistic from the SAME interleaved run: paired per-round median 0.9651, trimmed 1.0025, per-round p10-p90 0.8528-1.2737, fused faster in 43% of 60 rounds; order sensitivity survives interleaving: fused-first vs unfused-first per-round medians differ by 30.0% (order_gap_frac); within-window drift: fused -19.5%, unfused -39.5% (interleaving cancels this to first order -- it is not zero); Hopper axes selected by the tuner: fused=none / unfused=warp-spec; axes the tuner was OFFERED for this family (fairness.h200_axes): warp specialization, clusters -- NOT offered: TMA (this kernel module advertises no cfg key for it) -- the two arms cannot use them symmetrically: the fused side is a norm kernel with the GEMM inside it, the unfused side is a standalone GEMM; tuner budget per arm (timed/failed): fused 301/101, unfused 365/14 -- 34% of the fused arm's configs failed vs 4% of the unfused arm's (the f04f05 compiler log records Triton's warp-specialization pass asserting on sm_90 (WSLowerToken.cpp:73) once per attempted config, and the fused kernel is the arm that is offered that axis); per-kernel times are each kernel's own tuned best, while the chain ran jointly-tuned configs (norm: BM1 BK2048 BE256 w8 s2 | gemm: BM64 BK128 BE128 w8 s2 WS | topk: BM1 BK32 BE256 w1 s2); ceiling for this cell 1.579x, traffic_ratio_model 1.486x -- both are MODELLED, not measured (glm52_h200/traffic.py); vendor/reference lines: cuBLAS router GEMM fp32 0.6515 ms, bf16 0.0438 ms, torch reference chain 1.9658 ms; MEASURED ON GPU b2318e71 (family f04f05), harness floor +36.914 us"
#6 Up_Gate + SwiGLU,-,sglang fused_moe_kernel (GEMM1) + silu_and_mul,yes - GEMM + activation epilogue,6.722,BM64 BN256 BK64 GM16 w8 s3 TMA WS,6.7621,1.0118,2,"w13 grouped GEMM -> [rows, 2I]",6.5729,BM128 BN256 BK64 GM8 w8 s3 TMA,silu_and_mul,0.2811,BM32 BN128 w16 s1,,,,"paired statistic from the SAME interleaved run: paired per-round median 1.0118, trimmed 1.0158, per-round p10-p90 0.9964-1.0647, fused faster in 87% of 60 rounds; within-window drift: fused 5.9%, unfused 9.4% (interleaving cancels this to first order -- it is not zero); hwinfo bracket flagged the measurement window SUSPECT: SM clock moved -2.3% (1980 -> 1935 MHz), new throttle reasons: SwPowerCap; Hopper axes selected by the tuner: fused=TMA, warp-spec / unfused=TMA; tuner budget per arm (timed/failed): fused 221/50, unfused 505/24 -- 23% of the fused arm's configs failed vs 5% of the unfused arm's; per-kernel unfused times are measured at the SAME configs the chain ran (gemm_cfg / act_cfg), each behind its own L2 flush, so they need not sum to unfused_total_ms; SMEM: fused winner 216 KB, unfused winner 144 KB, the unfused winner's tile IF FUSED would need 240 KB against a 227 KB opt-in ceiling -- so the fused side still cannot reach the unfused winner's tile, the same constraint C500 hit at a 4x smaller ceiling; kernel stats: fused regs 171 spills 0 smem 221240 B | unfused GEMM regs 171 spills 0 smem 147480 B; throughput: fused 490.7 TF/s, unfused 487.8 TF/s, vendor grouped BLAS 11.4019 ms (289.3 TF/s); MEASURED ON GPU b2318e71 (family f06), harness floor +36.914 us"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,4.4455,gemm: BM128 BN128 BK64 GM16 w8 s3 TMA | seed: torch,3.8274,0.8608,2,"w2 grouped down GEMM -> [rows, H]",3.6171,BM128 BN256 BK64 GM8 w8 s3 TMA,moe_sum (expert merge over top-8),0.2496,BM1 BD2048 w16 s2,,,,"paired statistic from the SAME interleaved run: paired per-round median 0.8608, trimmed 0.8608, per-round p10-p90 0.8577-0.8629, fused faster in 0% of 60 rounds; hwinfo bracket flagged the measurement window SUSPECT: new throttle reasons: SwPowerCap; Hopper axes selected by the tuner: fused=TMA / unfused=TMA; tuner budget per arm (timed/failed): fused 253/47, unfused 380/24 -- 19% of the fused arm's configs failed vs 6% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0347 ms and the atomic GEMM alone 4.4107 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); atomic accumulator 100663296 B, fits this device's 60 MB L2: False; vendor grouped BLAS GEMM 12.7345 ms, GEMM+merge 12.7609 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us"
#8 Down + Expert Merge,token-major,none (custom),"partial - fused epilogue, but a different grid",347.6309,BM16 BN64 BK256 w4 s3 USE_DOT=True,3.5828,0.0103,2,"w2 grouped down GEMM -> [rows, H]",3.6171,BM128 BN256 BK64 GM8 w8 s3 TMA,moe_sum (expert merge over top-8),0.2496,BM1 BD2048 w16 s2,,,,"paired statistic from the SAME interleaved run: paired per-round median 0.0103, trimmed 0.0103, per-round p10-p90 0.0103-0.0103, fused faster in 0% of 3 rounds; Hopper axes selected by the tuner: fused=none / unfused=TMA; tuner budget per arm (timed/failed): fused 30/0, unfused 380/24 -- 0% of the fused arm's configs failed vs 6% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; scored against the EXPERT-major baseline; part of any win is the grid change, not the fusion (LOG-08 F3); atomic accumulator 100663296 B, fits this device's 60 MB L2: False; vendor grouped BLAS GEMM 12.7345 ms, GEMM+merge 12.7609 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us"
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,4.4578,gemm: BM128 BN128 BK64 GM16 w8 s3 TMA | seed: torch,3.9187,0.8794,3,"w2 grouped down GEMM -> [rows, H]",3.6171,BM128 BN256 BK64 GM8 w8 s3 TMA,moe_sum (expert merge over top-8),0.2496,BM1 BD2048 w16 s2,residual add 2,0.0989,BM8 BN256 w16 s1,"paired statistic from the SAME interleaved run: paired per-round median 0.8794, trimmed 0.8792, per-round p10-p90 0.8761-0.8818, fused faster in 0% of 60 rounds; hwinfo bracket flagged the measurement window SUSPECT: SM clock moved -6.1% (1980 -> 1860 MHz), new throttle reasons: SwPowerCap; Hopper axes selected by the tuner: fused=TMA / unfused=TMA; tuner budget per arm (timed/failed): fused 243/47, unfused 512/24 -- 19% of the fused arm's configs failed vs 5% of the unfused arm's; per-kernel unfused times are measured once per regime at the #8 chain's winning gemm/sum configs and the #9 chain's resadd config, and the mappings shown are those same configs; fused arm = zero/residual seed + atomic-merge GEMM, where the seed alone is 0.0347 ms and the atomic GEMM alone 4.4107 ms, and fused_ms includes both. bf16 atomics make the fused output non-deterministic (LOG-08 F6); unfused_total is the 3-kernel chain, and the strictly better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 3.8617 ms -> speedup 0.8663x, which is the honest comparison; atomic accumulator 100663296 B, fits this device's 60 MB L2: False; vendor grouped BLAS GEMM 12.7345 ms, GEMM+merge 12.7609 ms; MEASURED ON GPU b2318e71 (family f08f09), harness floor +36.914 us"
