fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,4.8681,BM64 BN256 BK32 GM4 SK2 w8 s2 | cast-epi: BLK512 w1 s1,4.2388,0.8707,2,o_proj GEMM,4.1828,BM128 BN128 BK32 GM8 SK1 w8 s2,residual add (elementwise),0.0648,BLK2048 w8 s1,,,,per-kernel split re-measured by the main session; the original run recorded only the chain total. re-measured over 5 passes; the first pass (4.954) was a one-off excursion
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.0975,BN8192 ROWS1 EVICT1 w4 s2,0.1219,1.2493,2,residual add,0.0658,BN2048 ROWS1 w8 s2,rmsnorm,0.0689,BN1024 ROWS1 w1 s1,,,,fused output bitwise-identical to unfused at 4/5 regimes
#5 RMSNorm + Router,F5,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.4239,BM64 BK64 BE64 w4 s2,0.2012,0.4746,2,rmsnorm,0.0727,BM2 BK2048 BE256 w4 s2,router GEMM (fp32),0.1446,BM64 BK64 BE64 w4 s2,,,,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#5 RMSNorm + Router + TopK,F5_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.5071,BM16 BK32 BE256 NBK2048 w4 s1,0.2304,0.4543,3,rmsnorm,0.0727,BM2 BK2048 BE256 w4 s2,router GEMM (fp32),0.1446,BM64 BK64 BE64 w4 s2,sigmoid + noaux_tc top-8,0.0433,BM4 BK32 BE256 w4 s2,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#4 ResAdd + RMSNorm + Router,F4,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.5363,BM32 BK32 BE256 w8 s2,0.2342,0.4368,2,add+rmsnorm (fusion #3 already applied),0.1060,BM2 BK2048 BE256 w8 s2,router GEMM (fp32),0.1446,BM64 BK64 BE64 w4 s2,,,,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.6316,BM16 BK32 BE256 w4 s1,0.2637,0.4175,3,add+rmsnorm (fusion #3 already applied),0.1060,BM2 BK2048 BE256 w8 s2,router GEMM (fp32),0.1446,BM64 BK64 BE64 w4 s2,sigmoid + noaux_tc top-8,0.0433,BM4 BK32 BE256 w4 s2,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#6 Up_Gate + SwiGLU,-,sglang fused_moe_kernel (GEMM1) + silu_and_mul,yes - GEMM + activation epilogue,25.2452,BM32 BN64 BK64 GM16 w4 s3,13.9661,0.5532,2,"w13 grouped GEMM -> [rows, 2I]",13.7981,BM128 BN128 BK64 GM4 w8 s2,silu_and_mul,0.1741,BM8 BN512 w4 s2,,,,"fused BM128/BN128 is UNCOMPILABLE (96 KB SMEM vs 64 KB limit), so the fused side cannot reach the unfused winner's tile"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,8.8097,BM128 BN128 BK64 GM4 w16 s2,7.9639,0.9040,2,"w2 grouped down GEMM -> [rows, H]",7.7978,BM128 BN128 BK64 GM1 w8 s2,moe_sum (expert merge over top-8),0.1748,BM2 BD1024 w16 s2,,,,bf16 atomics -> non-deterministic output (LOG-08 F6)
#8 Down + Expert Merge,token-major,none (custom),"partial - fused epilogue, but a different grid",246.6217,BM16 BN64 BK128 w8 s1 USE_DOT=False,7.9639,0.0323,2,"w2 grouped down GEMM -> [rows, H]",7.7978,BM128 BN128 BK64 GM1 w8 s2,moe_sum (expert merge over top-8),0.1748,BM2 BD1024 w16 s2,,,,"scored against the EXPERT-major baseline; part of any win is the grid change, not the fusion (LOG-08 F3)"
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,8.8507,BM128 BN128 BK64 GM4 w16 s2,8.0381,0.9082,3,"w2 grouped down GEMM -> [rows, H]",7.7978,BM128 BN128 BK64 GM1 w8 s2,moe_sum (expert merge over top-8),0.1748,BM4 BD512 w16 s1,residual add 2,0.0883,BM1 BN1024 w8 s2,"unfused_total is the 3-kernel chain; a strictly better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 7.9803 ms -> speedup 0.902x, which LOG-09 uses; bf16 atomics -> non-deterministic output (LOG-08 F6)"
