fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,0.3100,BM32 BN256 BK32 GM8 SK4 w8 s2 | cast-epi: BLK512 w2 s1,0.3098,0.9992,2,o_proj GEMM,0.3085,BM32 BN256 BK32 GM8 SK4 w8 s2,residual add (elementwise),0.0166,BLK1024 w8 s1,,,,"per-kernel split re-measured by the main session; the original run recorded only the chain total. SPLIT_K>1, so both sides also run a zero-init + fp32 cast kernel"
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.0215,BN8192 ROWS1 w16 s1,0.0238,1.1071,2,residual add,0.0169,BN8192 ROWS1 w16 s1,rmsnorm,0.0200,BN8192 ROWS1 w8 s2,,,,fused output bitwise-identical to unfused at 4/5 regimes
#5 RMSNorm + Router,F5,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.1623,BM16 BK64 BE32 NBK2048 w8 s2,0.0753,0.4637,2,rmsnorm,0.0236,BM1 BK2048 BE256 w8 s2,router GEMM (fp32),0.0694,BM16 BK64 BE32 w4 s2,,,,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#5 RMSNorm + Router + TopK,F5_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.4211,BM16 BK32 BE256 NBK2048 w4 s2,0.0950,0.2255,3,rmsnorm,0.0236,BM1 BK2048 BE256 w4 s2,router GEMM (fp32),0.0694,BM16 BK64 BE32 w4 s2,sigmoid + noaux_tc top-8,0.0335,BM8 BK32 BE256 w8 s2,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#4 ResAdd + RMSNorm + Router,F4,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.2028,BM16 BK64 BE32 w4 s2,0.0768,0.3788,2,add+rmsnorm (fusion #3 already applied),0.0253,BM1 BK2048 BE256 w8 s2,router GEMM (fp32),0.0694,BM16 BK64 BE32 w4 s2,,,,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.4590,BM16 BK32 BE256 NBK2048 w8 s2,0.0952,0.2075,3,add+rmsnorm (fusion #3 already applied),0.0253,BM1 BK2048 BE256 w4 s2,router GEMM (fp32),0.0694,BM16 BK64 BE32 w4 s2,sigmoid + noaux_tc top-8,0.0335,BM4 BK32 BE256 w4 s2,per-kernel times are each kernel's own tuned best; the chain ran jointly-tuned configs
#6 Up_Gate + SwiGLU,-,sglang fused_moe_kernel (GEMM1) + silu_and_mul,yes - GEMM + activation epilogue,4.9697,BM16 BN32 BK64 GM4 w2 s3,4.8433,0.9746,2,"w13 grouped GEMM -> [rows, 2I]",4.8384,BM16 BN64 BK128 GM1 w4 s3,silu_and_mul,0.0195,BM2 BN512 w2 s2,,,,"fused BM128/BN128 is UNCOMPILABLE (96 KB SMEM vs 64 KB limit), so the fused side cannot reach the unfused winner's tile"
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,2.4799,BM16 BN32 BK64 GM8 w4 s3,2.5050,1.0101,2,"w2 grouped down GEMM -> [rows, H]",2.5016,BM16 BN32 BK64 GM8 w2 s3,moe_sum (expert merge over top-8),0.0210,BM2 BD512 w8 s2,,,,bf16 atomics -> non-deterministic output (LOG-08 F6)
#8 Down + Expert Merge,token-major,none (custom),"partial - fused epilogue, but a different grid",3.8817,BM16 BN128 BK128 w4 s1 USE_DOT=False,2.5050,0.6453,2,"w2 grouped down GEMM -> [rows, H]",2.5016,BM16 BN32 BK64 GM8 w2 s3,moe_sum (expert merge over top-8),0.0210,BM2 BD512 w8 s2,,,,"scored against the EXPERT-major baseline; part of any win is the grid change, not the fusion (LOG-08 F3)"
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),"sglang fused_moe_kernel, MUL_ROUTED_WEIGHT + FUSE_SUM_ALL_REDUCE",yes - GEMM + scale/accumulate epilogue,2.4806,BM16 BN32 BK64 GM8 w4 s3,2.5091,1.0115,3,"w2 grouped down GEMM -> [rows, H]",2.5016,BM16 BN32 BK64 GM8 w2 s3,moe_sum (expert merge over top-8),0.0210,BM2 BD256 w4 s1,residual add 2,0.0195,BM1 BN1024 w8 s1,"unfused_total is the 3-kernel chain; a strictly better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 2.5057 ms -> speedup 1.010x, which LOG-09 uses; bf16 atomics -> non-deterministic output (LOG-08 F6)"
#9 Down + Expert Merge + ResAdd2,token-major,none (custom),"partial - fused epilogue, but a different grid",3.8822,BM16 BN128 BK128 w4 s1 USE_DOT=False,2.5091,0.6463,3,"w2 grouped down GEMM -> [rows, H]",2.5016,BM16 BN32 BK64 GM8 w2 s3,moe_sum (expert merge over top-8),0.0210,BM2 BD256 w4 s1,residual add 2,0.0195,BM1 BN1024 w8 s1,"unfused_total is the 3-kernel chain; a strictly better 2-kernel baseline (moe_sum with ADD_RESIDUAL) runs 2.5057 ms -> speedup 0.645x, which LOG-09 uses; scored against the EXPERT-major baseline; part of any win is the grid change, not the fusion (LOG-08 F3)"
#10 Expert Merge + ResAdd,-,sglang moe_sum + residual add,no - no GEMM involved,0.0184,BN512 ROWS4 KVEC0 UNROLL1 w8 s1,0.0218,1.1806,2,expert merge (moe_sum),0.0184,BN256 ROWS8 KVEC0 UNROLL1 w8 s2,residual add,0.0156,BN1024 ROWS2 KVEC0 UNROLL1 w8 s1,,,,fused output bitwise-identical to unfused
#11a Lazy Pre-Norm -> w13 grouped GEMM,lazy pre-norm (prologue),PyTorch/Meta 'Towards Free Normalization' (Zhou et al. 2026) S2,partial - prologue fusion; CODA is epilogue-oriented,5.2582,BM16 BN64 BK64 GM1 w4 s2,5.0532,0.9610,2,rmsnorm (writes x2),0.0197,BN8192 ROWS1 w8 s2,w13 grouped GEMM,5.0437,BM16 BN64 BK128 GM1 w4 s3,,,,sum-of-squares redundancy 512x; valid only if ALL K=6144 consumers are fused (x2 never materialised)
