fusion,variant,family,regime,arm,offered_axes,engagement,hopper_speedup,classic_speedup,ratio,delta_abs,delta_rel,band_lo,band_hi,band_basis,verdict,hopper_fused_ms,classic_fused_ms,hopper_unfused_ms,classic_unfused_ms,hopper_axes_selected,classic_axes_selected,hopper_mapping_fused,classic_mapping_fused,hopper_flags,classic_flags,notes,delta_rel_raw,exclusion,exclusion_reason
#1 o_proj + ResAdd,triton,f01,decode_bs2,classic,tma|warp_specialize|clusters,ENGAGED,1.0006,1.0069,1.0063,0.0063,0.0063,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.12704,0.117728,0.126208,0.119328,none,none,BM16 BN128 BK64 GM16 SK16 w4 s2,BM16 BN128 BK64 GM8 SK16 w4 s2,,,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0063,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#10 Expert Merge + ResAdd,-,f10,decode_bs2,classic,none,NOTHING-TO-DISABLE,2.2355,2.0999,0.9393,-0.1356,-0.0607,-0.0607,0.047,decode-minmax,NOISE-FLOOR,0.055584,0.069952,0.123936,0.148128,none,none,BN256 ROWS4 KVEC0 UNROLL1 w1 s1,BN512 ROWS1 KVEC0 UNROLL1 w4 s2,ABOVE CEILING: 2.235x vs modelled ceiling 1.200x,ABOVE CEILING: 2.100x vs modelled ceiling 1.200x,campaign: ABOVE CEILING: 2.235x vs modelled ceiling 1.200x; control: ABOVE CEILING: 2.100x vs modelled ceiling 1.200x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0607,,
#11a Lazy Pre-Norm -> w13 grouped GEMM,lazy pre-norm (prologue),f11,decode_bs2,classic,warp_specialize,ENGAGED,0.9709,0.9672,0.9962,-0.0037,-0.0038,-0.0607,0.047,decode-minmax,INSIDE,0.190784,0.191168,0.185344,0.184992,none,none,BM16 BN256 BK128 GM16 w4 s3,BM16 BN256 BK128 GM16 w4 s3,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0038,,
#11a+#11b combined (one norm charged once),combined,f11,decode_bs2,classic,warp_specialize,ENGAGED,0.9314,0.9204,0.9882,-0.011,-0.0118,-0.0607,0.047,decode-minmax,INSIDE,0.219936,0.217984,0.204864,0.200768,none,none,,,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0118,,
#11b Lazy Pre-Norm -> router GEMM,lazy pre-norm (prologue),f11,decode_bs2,classic,warp_specialize,ENGAGED,1.8952,2.1741,1.1471,0.2789,0.1471,-0.0607,0.047,decode-minmax,OUTSIDE-HIGH,0.072768,0.062144,0.139392,0.13664,warp-spec,none,BM16 BN64 BK64 GM8 w8 s5 WS,BM16 BN32 BK64 GM8 w8 s5,ABOVE CEILING: 1.895x vs modelled ceiling 1.015x,ABOVE CEILING: 2.174x vs modelled ceiling 1.015x,"campaign: ABOVE CEILING: 1.895x vs modelled ceiling 1.015x; control: ABOVE CEILING: 2.174x vs modelled ceiling 1.015x; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; above the drift band: the fusion gain (unfused/fused) was LARGER in the classic arm than in the campaign by more than the drift band explains -- which of the two arms' kernels moved, and why, this unpaired design cannot say; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.1471,,
#3 ResAdd + RMSNorm,-,f03,decode_bs2,classic,none,NOTHING-TO-DISABLE,2.1522,2.0434,0.9494,-0.1088,-0.0506,-0.0607,0.047,decode-minmax,NOISE-FLOOR,0.059328,0.076768,0.12512,0.152928,none,none,BN4096 ROWS1 w32 s2,BN8192 ROWS1 w16 s2,DRIFT: paired 2.1522x vs ratio-of-medians 2.1090x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.152x vs modelled ceiling 1.250x,DRIFT: paired 2.0434x vs ratio-of-medians 1.9921x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.043x vs modelled ceiling 1.250x,campaign: DRIFT: paired 2.1522x vs ratio-of-medians 2.1090x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.152x vs modelled ceiling 1.250x; control: DRIFT: paired 2.0434x vs ratio-of-medians 1.9921x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.043x vs modelled ceiling 1.250x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0506,,
#4 ResAdd + RMSNorm + Router,F4,f04f05,decode_bs2,classic,warp_specialize|clusters,ENGAGED,1.3682,1.4071,1.0285,0.0389,0.0285,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.1048,0.100064,0.141248,0.141888,clusters(num_ctas=2),none,BM16 BK128 BE32 NBK256 w8 s2,BM16 BK128 BE32 NBK256 w8 s2,ABOVE CEILING: 1.368x vs modelled ceiling 1.015x,ABOVE CEILING: 1.407x vs modelled ceiling 1.015x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.368x vs modelled ceiling 1.015x; control: ABOVE CEILING: 1.407x vs modelled ceiling 1.015x; campaign Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0285,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,f04f05,decode_bs2,classic,warp_specialize|clusters,ENGAGED,1.7263,1.6086,0.9318,-0.1177,-0.0682,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.10688,0.106272,0.191776,0.171456,clusters(num_ctas=2),none,BM16 BK128 BE256 w16 s3,BM16 BK128 BE256 w16 s3,DRIFT: paired 1.7263x vs ratio-of-medians 1.7943x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.726x vs modelled ceiling 1.015x,ABOVE CEILING: 1.609x vs modelled ceiling 1.015x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.7263x vs ratio-of-medians 1.7943x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.726x vs modelled ceiling 1.015x; control: ABOVE CEILING: 1.609x vs modelled ceiling 1.015x; campaign Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0682,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router,F5,f04f05,decode_bs2,classic,warp_specialize|clusters,ENGAGED,1.4279,1.4455,1.0124,0.0176,0.0124,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.110528,0.09216,0.15568,0.13696,"warp-spec, clusters(num_ctas=2)",none,BM16 BK128 BE64 NBK256 w8 s2 WS,BM16 BK128 BE32 NBK256 w8 s2,ABOVE CEILING: 1.428x vs modelled ceiling 1.008x,DRIFT: paired 1.4455x vs ratio-of-medians 1.4861x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.446x vs modelled ceiling 1.008x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.428x vs modelled ceiling 1.008x; control: DRIFT: paired 1.4455x vs ratio-of-medians 1.4861x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.446x vs modelled ceiling 1.008x; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0124,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router + TopK,F5_topk,f04f05,decode_bs2,classic,warp_specialize|clusters,ENGAGED,1.7842,1.7748,0.9948,-0.0093,-0.0052,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.106688,0.105248,0.19184,0.186208,"warp-spec, clusters(num_ctas=2)",none,BM16 BK128 BE256 NBK256 w16 s3 WS,BM16 BK128 BE256 NBK256 w16 s3,ABOVE CEILING: 1.784x vs modelled ceiling 1.008x,ABOVE CEILING: 1.775x vs modelled ceiling 1.008x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.784x vs modelled ceiling 1.008x; control: ABOVE CEILING: 1.775x vs modelled ceiling 1.008x; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0052,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
