fusion,variant,family,regime,arm,offered_axes,engagement,hopper_speedup,classic_speedup,ratio,delta_abs,delta_rel,band_lo,band_hi,band_basis,verdict,hopper_fused_ms,classic_fused_ms,hopper_unfused_ms,classic_unfused_ms,hopper_axes_selected,classic_axes_selected,hopper_mapping_fused,classic_mapping_fused,hopper_flags,classic_flags,notes,delta_rel_raw,exclusion,exclusion_reason
#1 o_proj + ResAdd,triton,f01,prefill_t2048,classic,tma|warp_specialize|clusters,ENGAGED,1.008,1.0177,1.0096,0.0097,0.0096,-0.0607,0.047,global-minmax,TENANT-CONTAMINATED,0.63104,0.634272,0.635424,0.645248,TMA,none,BM128 BN256 BK32 GM1 SK1 w8 s4 TMA,BM128 BN256 BK32 GM1 SK1 w8 s4,,,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign Hopper axes selected by the tuner: fused=TMA / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0096,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#10 Expert Merge + ResAdd,-,f10,prefill_t2048,classic,none,NOTHING-TO-DISABLE,1.5648,1.5762,1.0073,0.0114,0.0073,-0.0607,0.047,global-minmax,NOISE-FLOOR,0.13328,0.140416,0.207424,0.218912,none,none,BN256 ROWS1 KVEC1 UNROLL1 EVICT1 w1 s1,BN256 ROWS1 KVEC1 UNROLL1 EVICT1 w1 s1,ABOVE CEILING: 1.565x vs modelled ceiling 1.200x,ABOVE CEILING: 1.576x vs modelled ceiling 1.200x,campaign: ABOVE CEILING: 1.565x vs modelled ceiling 1.200x; control: ABOVE CEILING: 1.576x vs modelled ceiling 1.200x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0073,,
#11a Lazy Pre-Norm -> w13 grouped GEMM,lazy pre-norm (prologue),f11,prefill_t2048,classic,warp_specialize,ENGAGED,0.7735,0.84,1.086,0.0665,0.086,-0.0607,0.047,global-minmax,OUTSIDE-HIGH,4.170368,3.860736,3.229952,3.244928,warp-spec,none,BM64 BN256 BK64 GM8 w16 s3 WS,BM64 BN256 BK64 GM8 w16 s4,,,"campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; above the drift band: the fusion gain (unfused/fused) was LARGER in the classic arm than in the campaign by more than the drift band explains -- which of the two arms' kernels moved, and why, this unpaired design cannot say; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.086,,
#11a+#11b combined (one norm charged once),combined,f11,prefill_t2048,classic,warp_specialize,ENGAGED,0.7693,0.8384,1.0899,0.0691,0.0899,-0.0607,0.047,global-minmax,OUTSIDE-HIGH,4.22304,3.906784,3.25024,3.274592,none,none,,,,,"campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; above the drift band: the fusion gain (unfused/fused) was LARGER in the classic arm than in the campaign by more than the drift band explains -- which of the two arms' kernels moved, and why, this unpaired design cannot say; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0899,,
#11b Lazy Pre-Norm -> router GEMM,lazy pre-norm (prologue),f11,prefill_t2048,classic,warp_specialize,ENGAGED,1.7633,1.8203,1.0324,0.0571,0.0324,-0.0607,0.047,global-minmax,INSIDE,0.115744,0.111456,0.204032,0.20192,none,none,BM64 BN64 BK128 GM1 w8 s3,BM64 BN64 BK128 GM1 w16 s3,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0324,,
#3 ResAdd + RMSNorm,-,f03,prefill_t2048,classic,none,NOTHING-TO-DISABLE,1.9597,1.9327,0.9862,-0.0269,-0.0138,-0.0607,0.047,global-minmax,NOISE-FLOOR,0.100736,0.107584,0.191136,0.206752,none,none,BN8192 ROWS1 w4 s1,BN8192 ROWS1 w4 s1,DRIFT: paired 1.9597x vs ratio-of-medians 1.8974x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.960x vs modelled ceiling 1.250x,ABOVE CEILING: 1.933x vs modelled ceiling 1.250x,campaign: DRIFT: paired 1.9597x vs ratio-of-medians 1.8974x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.960x vs modelled ceiling 1.250x; control: ABOVE CEILING: 1.933x vs modelled ceiling 1.250x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0138,,
#4 ResAdd + RMSNorm + Router,F4,f04f05,prefill_t2048,classic,warp_specialize|clusters,ENGAGED,1.3792,1.3548,0.9823,-0.0244,-0.0177,-0.0607,0.047,global-minmax,TENANT-CONTAMINATED,0.168512,0.166496,0.239104,0.218752,none,none,BM16 BK128 BE256 w16 s3,BM16 BK128 BE256 w16 s3,DRIFT: paired 1.3792x vs ratio-of-medians 1.4189x differ by >2%; the machine moved during this cell,DRIFT: paired 1.3548x vs ratio-of-medians 1.3139x differ by >2%; the machine moved during this cell,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.3792x vs ratio-of-medians 1.4189x differ by >2%; the machine moved during this cell; control: DRIFT: paired 1.3548x vs ratio-of-medians 1.3139x differ by >2%; the machine moved during this cell; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0177,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,f04f05,prefill_t2048,classic,warp_specialize|clusters,ENGAGED,1.8948,1.8946,0.9999,-0.0001,-0.0001,-0.0607,0.047,global-minmax,TENANT-CONTAMINATED,0.158272,0.16368,0.282528,0.295424,none,none,BM16 BK128 BE256 w16 s3,BM16 BK128 BE256 w16 s3,DRIFT: paired 1.8948x vs ratio-of-medians 1.7851x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.895x vs modelled ceiling 1.544x,DRIFT: paired 1.8946x vs ratio-of-medians 1.8049x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.895x vs modelled ceiling 1.523x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.8948x vs ratio-of-medians 1.7851x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.895x vs modelled ceiling 1.544x; control: DRIFT: paired 1.8946x vs ratio-of-medians 1.8049x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.895x vs modelled ceiling 1.523x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0001,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router,F5,f04f05,prefill_t2048,classic,warp_specialize|clusters,ENGAGED,1.4694,1.5046,1.0239,0.0351,0.0239,-0.0607,0.047,global-minmax,TENANT-CONTAMINATED,0.145728,0.1584,0.213472,0.235424,none,none,BM16 BK128 BE256 NBK256 w16 s3,BM16 BK128 BE256 NBK256 w16 s3,,,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0239,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router + TopK,F5_topk,f04f05,prefill_t2048,classic,warp_specialize|clusters,ENGAGED,2.0781,2.0903,1.0059,0.0122,0.0059,-0.0607,0.047,global-minmax,TENANT-CONTAMINATED,0.148608,0.163808,0.299584,0.333472,none,none,BM16 BK128 BE256 NBK256 w16 s3,BM16 BK128 BE256 NBK256 w16 s3,DRIFT: paired 2.0781x vs ratio-of-medians 2.0159x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.078x vs modelled ceiling 1.583x,DRIFT: paired 2.0903x vs ratio-of-medians 2.0357x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.090x vs modelled ceiling 1.543x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 2.0781x vs ratio-of-medians 2.0159x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.078x vs modelled ceiling 1.583x; control: DRIFT: paired 2.0903x vs ratio-of-medians 2.0357x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.090x vs modelled ceiling 1.543x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0059,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#6 Up_Gate + SwiGLU,-,f06,prefill_t2048,classic,tma|warp_specialize|clusters,ENGAGED,0.9483,1.0397,1.0964,0.0914,0.0964,-0.0607,0.047,global-minmax,OUTSIDE-HIGH,3.454528,3.36352,3.274656,3.4992,TMA,none,BM128 BN128 BK64 GM8 w8 s3 TMA,BM128 BN128 BK64 GM4 w8 s4,,,"campaign Hopper axes selected by the tuner: fused=TMA / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; above the drift band: the fusion gain (unfused/fused) was LARGER in the classic arm than in the campaign by more than the drift band explains -- which of the two arms' kernels moved, and why, this unpaired design cannot say; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0964,,
#8 Down + Expert Merge,atomic (sglang FUSE_SUM_ALL_REDUCE),f08f09,prefill_t2048,classic,tma|warp_specialize|clusters,ENGAGED,0.9366,0.9138,0.9757,-0.0228,-0.0243,-0.0607,0.047,global-minmax,INSIDE,1.889312,1.91552,1.768768,1.751808,TMA,none,gemm: BM128 BN128 BK64 GM1 w8 s3 TMA | seed: torch,gemm: BM128 BN256 BK64 GM8 w16 s4 | seed: BM1 BN512 w8 s1,,,campaign Hopper axes selected by the tuner: fused=TMA / unfused=TMA; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0243,,
#8 Down + Expert Merge,token-major,f08f09,prefill_t2048,classic,tma|warp_specialize|clusters,ENGAGED,0.0197,0.0197,1.0019,0.0,0.0019,-0.0607,0.047,global-minmax,INSIDE,86.918655,86.923164,1.71248,1.715808,TMA,none,BM16 BN64 BK256 w4 s3 USE_DOT=True,BM16 BN64 BK256 w4 s3 USE_DOT=True,,,campaign Hopper axes selected by the tuner: fused=none / unfused=TMA; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0019,,
#9 Down + Expert Merge + ResAdd2,atomic (sglang FUSE_SUM_ALL_REDUCE),f08f09,prefill_t2048,classic,tma|warp_specialize|clusters,ENGAGED,0.948,0.9298,0.9808,-0.0182,-0.0192,-0.0607,0.047,global-minmax,INSIDE,1.895296,1.910816,1.796736,1.77776,TMA,none,gemm: BM128 BN128 BK64 GM1 w8 s3 TMA | seed: torch,gemm: BM128 BN256 BK64 GM8 w16 s4 | seed: torch,,,campaign Hopper axes selected by the tuner: fused=TMA / unfused=TMA; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0192,,
#9 Down + Expert Merge + ResAdd2,token-major,f08f09,prefill_t2048,classic,tma|warp_specialize|clusters,ENGAGED,0.02,0.02,1.0015,0.0,0.0015,-0.0607,0.047,global-minmax,INSIDE,86.922462,86.923325,1.738592,1.741472,TMA,none,BM16 BN64 BK256 w4 s3 USE_DOT=True,BM16 BN64 BK256 w4 s3 USE_DOT=True,,,campaign Hopper axes selected by the tuner: fused=none / unfused=TMA; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0015,,
