fusion,variant,family,regime,arm,offered_axes,engagement,hopper_speedup,classic_speedup,ratio,delta_abs,delta_rel,band_lo,band_hi,band_basis,verdict,hopper_fused_ms,classic_fused_ms,hopper_unfused_ms,classic_unfused_ms,hopper_axes_selected,classic_axes_selected,hopper_mapping_fused,classic_mapping_fused,hopper_flags,classic_flags,notes,delta_rel_raw,exclusion,exclusion_reason
#1 o_proj + ResAdd,triton,f01,decode_bs16,classic,tma|warp_specialize|clusters,ENGAGED,1.0029,1.0029,1.0,-0.0,-0.0,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.132896,0.117856,0.132544,0.118496,warp-spec,none,BM16 BN64 BK128 GM4 SK4 w4 s3 WS,BM16 BN64 BK128 GM8 SK4 w4 s3,,,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=warp-spec; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#10 Expert Merge + ResAdd,-,f10,decode_bs16,classic,none,NOTHING-TO-DISABLE,2.1607,3.7394,1.7306,1.5786,0.7306,-0.0607,0.047,decode-minmax,INVALID-HARNESS-FLOOR,0.063232,0.016416,0.136896,0.061088,none,none,BN256 ROWS4 KVEC0 UNROLL1 w2 s2,BN256 ROWS1 KVEC1 UNROLL1 w2 s2,ABOVE CEILING: 2.161x vs modelled ceiling 1.200x,ABOVE CEILING: 3.739x vs modelled ceiling 1.200x,"EXCLUDED (INVALID-HARNESS-FLOOR) -- RE-MEASURE: control (classic) fused time 16.42 us is BELOW the harness floor that session measured for itself (39.46 us): the timed region did not enclose the work, so the number is not commensurable with the cell it is diffed against; campaign: ABOVE CEILING: 2.161x vs modelled ceiling 1.200x; control: ABOVE CEILING: 3.739x vs modelled ceiling 1.200x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: the fused time falls below the harness floor that this very session measured, so the cell is not commensurable with the cell it is diffed against. The delta is printed for inspection and enters no band, no aggregate and no verdict; `excluded.csv` carries the diagnostics and the band is reported both with and without it; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.7306,INVALID-HARNESS-FLOOR,"control (classic) fused time 16.42 us is BELOW the harness floor that session measured for itself (39.46 us): the timed region did not enclose the work, so the number is not commensurable with the cell it is diffed against"
#11a Lazy Pre-Norm -> w13 grouped GEMM,lazy pre-norm (prologue),f11,decode_bs16,classic,warp_specialize,ENGAGED,0.9899,0.9863,0.9964,-0.0035,-0.0036,-0.0607,0.047,decode-minmax,INSIDE,1.094656,1.09792,1.083712,1.083104,none,none,BM16 BN128 BK128 GM8 w2 s3,BM16 BN256 BK128 GM4 w4 s2,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0036,,
#11a+#11b combined (one norm charged once),combined,f11,decode_bs16,classic,warp_specialize,ENGAGED,0.9759,0.9723,0.9963,-0.0036,-0.0037,-0.0607,0.047,decode-minmax,INSIDE,1.128992,1.132608,1.101664,1.10128,none,none,,,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0037,,
#11b Lazy Pre-Norm -> router GEMM,lazy pre-norm (prologue),f11,decode_bs16,classic,warp_specialize,ENGAGED,2.0025,2.0088,1.0032,0.0063,0.0032,-0.0607,0.047,decode-minmax,INSIDE,0.075264,0.069024,0.15408,0.134592,none,none,BM16 BN64 BK128 GM8 w4 s5,BM16 BN64 BK128 GM4 w4 s4,DRIFT: paired 2.0025x vs ratio-of-medians 2.0472x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.002x vs modelled ceiling 1.117x,DRIFT: paired 2.0088x vs ratio-of-medians 1.9499x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.009x vs modelled ceiling 1.117x,campaign: DRIFT: paired 2.0025x vs ratio-of-medians 2.0472x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.002x vs modelled ceiling 1.117x; control: DRIFT: paired 2.0088x vs ratio-of-medians 1.9499x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.009x vs modelled ceiling 1.117x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0032,,
#3 ResAdd + RMSNorm,-,f03,decode_bs16,classic,none,NOTHING-TO-DISABLE,2.0986,2.1911,1.0441,0.0925,0.0441,-0.0607,0.047,decode-minmax,NOISE-FLOOR,0.06512,0.059712,0.137536,0.132384,none,none,BN8192 ROWS1 w4 s1,BN8192 ROWS2 w8 s2,ABOVE CEILING: 2.099x vs modelled ceiling 1.250x,ABOVE CEILING: 2.191x vs modelled ceiling 1.250x,campaign: ABOVE CEILING: 2.099x vs modelled ceiling 1.250x; control: ABOVE CEILING: 2.191x vs modelled ceiling 1.250x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0441,,
#4 ResAdd + RMSNorm + Router,F4,f04f05,decode_bs16,classic,warp_specialize|clusters,ENGAGED,1.337,1.3728,1.0267,0.0357,0.0267,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.109888,0.097504,0.142304,0.138656,clusters(num_ctas=2),none,BM16 BK128 BE32 NBK256 w8 s2,BM16 BK128 BE32 NBK256 w8 s2,DRIFT: paired 1.3370x vs ratio-of-medians 1.2950x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.337x vs modelled ceiling 1.100x,DRIFT: paired 1.3728x vs ratio-of-medians 1.4221x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.373x vs modelled ceiling 1.100x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.3370x vs ratio-of-medians 1.2950x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.337x vs modelled ceiling 1.100x; control: DRIFT: paired 1.3728x vs ratio-of-medians 1.4221x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.373x vs modelled ceiling 1.100x; campaign Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0267,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,f04f05,decode_bs16,classic,warp_specialize|clusters,ENGAGED,1.6595,1.6577,0.9989,-0.0018,-0.0011,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.111808,0.112224,0.191712,0.185184,clusters(num_ctas=2),none,BM16 BK128 BE256 w16 s3,BM16 BK128 BE256 w16 s3,DRIFT: paired 1.6595x vs ratio-of-medians 1.7147x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.659x vs modelled ceiling 1.100x,ABOVE CEILING: 1.658x vs modelled ceiling 1.100x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.6595x vs ratio-of-medians 1.7147x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.659x vs modelled ceiling 1.100x; control: ABOVE CEILING: 1.658x vs modelled ceiling 1.100x; campaign Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0011,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router,F5,f04f05,decode_bs16,classic,warp_specialize|clusters,ENGAGED,1.3921,1.4416,1.0355,0.0495,0.0355,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.100992,0.105728,0.140576,0.15312,clusters(num_ctas=2),none,BM16 BK128 BE32 NBK256 w8 s2,BM16 BK128 BE64 NBK256 w8 s2,ABOVE CEILING: 1.392x vs modelled ceiling 1.055x,ABOVE CEILING: 1.442x vs modelled ceiling 1.055x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.392x vs modelled ceiling 1.055x; control: ABOVE CEILING: 1.442x vs modelled ceiling 1.055x; campaign Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0355,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router + TopK,F5_topk,f04f05,decode_bs16,classic,warp_specialize|clusters,ENGAGED,1.7057,1.6314,0.9564,-0.0743,-0.0436,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.116384,0.106752,0.20784,0.178112,"warp-spec, clusters(num_ctas=2)",none,BM16 BK128 BE256 NBK256 w16 s3 WS,BM16 BK128 BE256 w16 s3,DRIFT: paired 1.7057x vs ratio-of-medians 1.7858x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.706x vs modelled ceiling 1.055x,DRIFT: paired 1.6314x vs ratio-of-medians 1.6685x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.631x vs modelled ceiling 1.055x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.7057x vs ratio-of-medians 1.7858x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.706x vs modelled ceiling 1.055x; control: DRIFT: paired 1.6314x vs ratio-of-medians 1.6685x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.631x vs modelled ceiling 1.055x; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0436,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
