fusion,variant,family,regime,arm,offered_axes,engagement,hopper_speedup,classic_speedup,ratio,delta_abs,delta_rel,band_lo,band_hi,band_basis,verdict,hopper_fused_ms,classic_fused_ms,hopper_unfused_ms,classic_unfused_ms,hopper_axes_selected,classic_axes_selected,hopper_mapping_fused,classic_mapping_fused,hopper_flags,classic_flags,notes,delta_rel_raw,exclusion,exclusion_reason
#1 o_proj + ResAdd,triton,f01,decode_bs8,classic,tma|warp_specialize|clusters,ENGAGED,1.0071,0.9991,0.9921,-0.008,-0.0079,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.108288,0.13168,0.109024,0.13136,warp-spec,none,BM16 BN128 BK64 GM8 SK16 w4 s2 WS,BM16 BN64 BK64 GM8 SK8 w4 s3,,,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0079,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#10 Expert Merge + ResAdd,-,f10,decode_bs8,classic,none,NOTHING-TO-DISABLE,2.165,2.1286,0.9832,-0.0364,-0.0168,-0.0607,0.047,decode-minmax,NOISE-FLOOR,0.068064,0.065728,0.143552,0.139392,none,none,BN512 ROWS4 KVEC0 UNROLL1 w8 s1,BN512 ROWS2 KVEC0 UNROLL1 w8 s2,DRIFT: paired 2.1650x vs ratio-of-medians 2.1091x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.165x vs modelled ceiling 1.200x,ABOVE CEILING: 2.129x vs modelled ceiling 1.200x,campaign: DRIFT: paired 2.1650x vs ratio-of-medians 2.1091x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.165x vs modelled ceiling 1.200x; control: ABOVE CEILING: 2.129x vs modelled ceiling 1.200x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0168,,
#11a Lazy Pre-Norm -> w13 grouped GEMM,lazy pre-norm (prologue),f11,decode_bs8,classic,warp_specialize,ENGAGED,0.9479,0.9488,1.001,0.0009,0.001,-0.0607,0.047,decode-minmax,INSIDE,0.686848,0.68608,0.65104,0.650784,none,none,BM16 BN128 BK128 GM8 w2 s3,BM16 BN128 BK128 GM8 w2 s3,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.001,,
#11a+#11b combined (one norm charged once),combined,f11,decode_bs8,classic,warp_specialize,ENGAGED,0.9342,0.9345,1.0004,0.0003,0.0004,-0.0607,0.047,decode-minmax,INSIDE,0.714016,0.713024,0.667136,0.66624,none,none,,,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0004,,
#11b Lazy Pre-Norm -> router GEMM,lazy pre-norm (prologue),f11,decode_bs8,classic,warp_specialize,ENGAGED,2.1859,2.1452,0.9814,-0.0407,-0.0186,-0.0607,0.047,decode-minmax,INSIDE,0.057792,0.070272,0.128256,0.150304,none,none,BM16 BN32 BK64 GM8 w8 s5,BM16 BN32 BK64 GM8 w8 s5,ABOVE CEILING: 2.186x vs modelled ceiling 1.060x,ABOVE CEILING: 2.145x vs modelled ceiling 1.060x,campaign: ABOVE CEILING: 2.186x vs modelled ceiling 1.060x; control: ABOVE CEILING: 2.145x vs modelled ceiling 1.060x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0186,,
#3 ResAdd + RMSNorm,-,f03,decode_bs8,classic,none,NOTHING-TO-DISABLE,2.1543,2.1943,1.0186,0.04,0.0186,-0.0607,0.047,decode-minmax,NOISE-FLOOR,0.056928,0.06048,0.123136,0.13184,none,none,BN8192 ROWS1 EVICT1 w16 s1,BN8192 ROWS1 w32 s2,ABOVE CEILING: 2.154x vs modelled ceiling 1.250x,ABOVE CEILING: 2.194x vs modelled ceiling 1.250x,campaign: ABOVE CEILING: 2.154x vs modelled ceiling 1.250x; control: ABOVE CEILING: 2.194x vs modelled ceiling 1.250x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0186,,
#4 ResAdd + RMSNorm + Router,F4,f04f05,decode_bs8,classic,warp_specialize|clusters,ENGAGED,1.3784,0.6116,0.4437,-0.7668,-0.5563,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.112288,0.08096,0.154272,0.049504,clusters(num_ctas=2),none,BM16 BK128 BE32 NBK256 w8 s2,BM16 BK128 BE32 NBK256 w8 s2,ABOVE CEILING: 1.378x vs modelled ceiling 1.055x,,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.378x vs modelled ceiling 1.055x; campaign Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.5563,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,f04f05,decode_bs8,classic,warp_specialize|clusters,ENGAGED,1.6088,1.6863,1.0482,0.0775,0.0482,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.104448,0.106944,0.176544,0.192928,clusters(num_ctas=2),none,BM16 BK128 BE256 w16 s3,BM16 BK128 BE256 w16 s3,DRIFT: paired 1.6088x vs ratio-of-medians 1.6903x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.609x vs modelled ceiling 1.055x,DRIFT: paired 1.6863x vs ratio-of-medians 1.8040x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.686x vs modelled ceiling 1.055x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.6088x vs ratio-of-medians 1.6903x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.609x vs modelled ceiling 1.055x; control: DRIFT: paired 1.6863x vs ratio-of-medians 1.8040x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.686x vs modelled ceiling 1.055x; campaign Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0482,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router,F5,f04f05,decode_bs8,classic,warp_specialize|clusters,ENGAGED,1.3589,0.6414,0.472,-0.7175,-0.528,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.10432,0.0752,0.140032,0.048224,"warp-spec, clusters(num_ctas=2)",none,BM16 BK128 BE64 NBK256 w8 s2 WS,BM16 BK128 BE32 NBK256 w8 s2,ABOVE CEILING: 1.359x vs modelled ceiling 1.029x,,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.359x vs modelled ceiling 1.029x; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.528,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router + TopK,F5_topk,f04f05,decode_bs8,classic,warp_specialize|clusters,ENGAGED,1.8027,0.6382,0.354,-1.1645,-0.646,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.108384,0.08624,0.195808,0.054976,clusters(num_ctas=2),none,BM16 BK128 BE256 NBK256 w16 s3,BM16 BK128 BE256 NBK256 w16 s3,ABOVE CEILING: 1.803x vs modelled ceiling 1.029x,,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.803x vs modelled ceiling 1.029x; campaign Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.646,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
