fusion,variant,family,regime,arm,offered_axes,engagement,hopper_speedup,classic_speedup,ratio,delta_abs,delta_rel,band_lo,band_hi,band_basis,verdict,hopper_fused_ms,classic_fused_ms,hopper_unfused_ms,classic_unfused_ms,hopper_axes_selected,classic_axes_selected,hopper_mapping_fused,classic_mapping_fused,hopper_flags,classic_flags,notes,delta_rel_raw,exclusion,exclusion_reason
#1 o_proj + ResAdd,triton,f01,decode_bs512,classic,tma|warp_specialize|clusters,ENGAGED,1.0143,0.9515,0.938,-0.0628,-0.062,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.3632,0.374208,0.367232,0.352448,TMA,none,BM128 BN256 BK32 GM1 SK1 w8 s5 TMA,BM128 BN256 BK32 GM1 SK1 w8 s6,,,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign Hopper axes selected by the tuner: fused=TMA / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.062,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#10 Expert Merge + ResAdd,-,f10,decode_bs512,classic,none,NOTHING-TO-DISABLE,1.9715,2.0642,1.047,0.0927,0.047,-0.0607,0.047,decode-minmax,NOISE-FLOOR,0.09376,0.081728,0.181024,0.16592,none,none,BN1024 ROWS1 KVEC0 UNROLL1 EVICT1 w4 s2,BN256 ROWS1 KVEC0 UNROLL1 w2 s1,DRIFT: paired 1.9715x vs ratio-of-medians 1.9307x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.971x vs modelled ceiling 1.200x,ABOVE CEILING: 2.064x vs modelled ceiling 1.200x,campaign: DRIFT: paired 1.9715x vs ratio-of-medians 1.9307x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.971x vs modelled ceiling 1.200x; control: ABOVE CEILING: 2.064x vs modelled ceiling 1.200x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.047,,
#11a Lazy Pre-Norm -> w13 grouped GEMM,lazy pre-norm (prologue),f11,decode_bs512,classic,warp_specialize,ENGAGED,0.948,0.916,0.9662,-0.032,-0.0338,-0.0607,0.047,decode-minmax,INSIDE,3.026304,3.130528,2.869632,2.86768,warp-spec,none,BM64 BN256 BK64 GM8 w16 s5 WS,BM32 BN256 BK64 GM1 w4 s3,,,campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0338,,
#11a+#11b combined (one norm charged once),combined,f11,decode_bs512,classic,warp_specialize,ENGAGED,0.9428,0.9122,0.9675,-0.0306,-0.0325,-0.0607,0.047,decode-minmax,INSIDE,3.06112,3.164096,2.886144,2.887232,none,none,,,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0325,,
#11b Lazy Pre-Norm -> router GEMM,lazy pre-norm (prologue),f11,decode_bs512,classic,warp_specialize,ENGAGED,2.0646,1.9753,0.9567,-0.0894,-0.0433,-0.0607,0.047,decode-minmax,INSIDE,0.081152,0.089312,0.166656,0.18,warp-spec,none,BM16 BN64 BK128 GM8 w4 s5,BM16 BN64 BK128 GM8 w4 s4,,DRIFT: paired 1.9753x vs ratio-of-medians 2.0154x differ by >2%; the machine moved during this cell,control: DRIFT: paired 1.9753x vs ratio-of-medians 2.0154x differ by >2%; the machine moved during this cell; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0433,,
#3 ResAdd + RMSNorm,-,f03,decode_bs512,classic,none,NOTHING-TO-DISABLE,2.0513,1.9628,0.9569,-0.0885,-0.0431,-0.0607,0.047,decode-minmax,NOISE-FLOOR,0.080128,0.087104,0.164896,0.174112,none,none,BN8192 ROWS1 EVICT1 w8 s2,BN8192 ROWS1 EVICT1 w4 s1,ABOVE CEILING: 2.051x vs modelled ceiling 1.250x,ABOVE CEILING: 1.963x vs modelled ceiling 1.250x,campaign: ABOVE CEILING: 2.051x vs modelled ceiling 1.250x; control: ABOVE CEILING: 1.963x vs modelled ceiling 1.250x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0431,,
#4 ResAdd + RMSNorm + Router,F4,f04f05,decode_bs512,classic,warp_specialize|clusters,ENGAGED,1.3821,1.5289,1.1062,0.1468,0.1062,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.126816,0.127168,0.162976,0.197216,"warp-spec, clusters(num_ctas=2)",none,BM16 BK128 BE64 NBK256 w8 s2 WS,BM16 BK128 BE64 NBK256 w8 s2,DRIFT: paired 1.3821x vs ratio-of-medians 1.2851x differ by >2%; the machine moved during this cell,ABOVE CEILING: 1.529x vs modelled ceiling 1.436x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.3821x vs ratio-of-medians 1.2851x differ by >2%; the machine moved during this cell; control: ABOVE CEILING: 1.529x vs modelled ceiling 1.436x; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.1062,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,f04f05,decode_bs512,classic,warp_specialize|clusters,ENGAGED,1.8882,1.8119,0.9596,-0.0763,-0.0404,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.14176,0.127008,0.252448,0.230368,"warp-spec, clusters(num_ctas=2)",none,BM16 BK128 BE256 NBK256 w16 s3 WS,BM16 BK128 BE256 NBK256 w16 s3,DRIFT: paired 1.8882x vs ratio-of-medians 1.7808x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.888x vs modelled ceiling 1.436x,ABOVE CEILING: 1.812x vs modelled ceiling 1.436x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.8882x vs ratio-of-medians 1.7808x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.888x vs modelled ceiling 1.436x; control: ABOVE CEILING: 1.812x vs modelled ceiling 1.436x; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0404,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router,F5,f04f05,decode_bs512,classic,warp_specialize|clusters,ENGAGED,1.4981,1.6107,1.0751,0.1126,0.0751,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.129344,0.115904,0.196672,0.183968,"warp-spec, clusters(num_ctas=2)",none,BM16 BK128 BE64 NBK256 w8 s2 WS,BM16 BK128 BE64 NBK256 w8 s2,ABOVE CEILING: 1.498x vs modelled ceiling 1.387x,ABOVE CEILING: 1.611x vs modelled ceiling 1.387x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.498x vs modelled ceiling 1.387x; control: ABOVE CEILING: 1.611x vs modelled ceiling 1.387x; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0751,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router + TopK,F5_topk,f04f05,decode_bs512,classic,warp_specialize|clusters,ENGAGED,1.9714,1.9618,0.9951,-0.0097,-0.0049,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.12672,0.122432,0.246912,0.231712,"warp-spec, clusters(num_ctas=2)",none,BM16 BK128 BE256 NBK256 w16 s3 WS,BM16 BK128 BE256 NBK256 w16 s3,ABOVE CEILING: 1.971x vs modelled ceiling 1.387x,DRIFT: paired 1.9618x vs ratio-of-medians 1.8926x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.962x vs modelled ceiling 1.387x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.971x vs modelled ceiling 1.387x; control: DRIFT: paired 1.9618x vs ratio-of-medians 1.8926x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.962x vs modelled ceiling 1.387x; campaign Hopper axes selected by the tuner: fused=warp-spec / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0049,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
