fusion,variant,family,regime,arm,offered_axes,engagement,hopper_speedup,classic_speedup,ratio,delta_abs,delta_rel,band_lo,band_hi,band_basis,verdict,hopper_fused_ms,classic_fused_ms,hopper_unfused_ms,classic_unfused_ms,hopper_axes_selected,classic_axes_selected,hopper_mapping_fused,classic_mapping_fused,hopper_flags,classic_flags,notes,delta_rel_raw,exclusion,exclusion_reason
#1 o_proj + ResAdd,triton,f01,decode_bs4,classic,tma|warp_specialize|clusters,ENGAGED,1.0012,1.0057,1.0045,0.0045,0.0045,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.123392,0.111872,0.122688,0.11088,none,none,BM16 BN128 BK64 GM16 SK16 w4 s2,BM16 BN128 BK64 GM8 SK16 w4 s2,,,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0045,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#10 Expert Merge + ResAdd,-,f10,decode_bs4,classic,none,NOTHING-TO-DISABLE,2.1446,2.1786,1.0159,0.034,0.0159,-0.0607,0.047,decode-minmax,NOISE-FLOOR,0.065984,0.061056,0.139488,0.137568,none,none,BN512 ROWS8 KVEC0 UNROLL1 EVICT1 w16 s1,BN512 ROWS8 KVEC0 UNROLL1 w32 s1,ABOVE CEILING: 2.145x vs modelled ceiling 1.200x,DRIFT: paired 2.1786x vs ratio-of-medians 2.2531x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.179x vs modelled ceiling 1.200x,campaign: ABOVE CEILING: 2.145x vs modelled ceiling 1.200x; control: DRIFT: paired 2.1786x vs ratio-of-medians 2.2531x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.179x vs modelled ceiling 1.200x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0159,,
#11a Lazy Pre-Norm -> w13 grouped GEMM,lazy pre-norm (prologue),f11,decode_bs4,classic,warp_specialize,ENGAGED,0.9413,0.9572,1.0169,0.0159,0.0169,-0.0607,0.047,decode-minmax,INSIDE,0.35584,0.344832,0.334848,0.33008,warp-spec,none,BM64 BN64 BK128 GM8 w4 s4,BM64 BN128 BK128 GM8 w16 s4,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0169,,
#11a+#11b combined (one norm charged once),combined,f11,decode_bs4,classic,warp_specialize,ENGAGED,0.9221,0.9275,1.0059,0.0055,0.0059,-0.0607,0.047,decode-minmax,INSIDE,0.384608,0.372,0.354496,0.34496,none,none,,,,,campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0059,,
#11b Lazy Pre-Norm -> router GEMM,lazy pre-norm (prologue),f11,decode_bs4,classic,warp_specialize,ENGAGED,2.2095,2.17,0.9821,-0.0395,-0.0179,-0.0607,0.047,decode-minmax,INSIDE,0.062368,0.061408,0.143136,0.13536,none,none,BM16 BN32 BK64 GM8 w8 s5,BM16 BN32 BK64 GM8 w8 s5,DRIFT: paired 2.2095x vs ratio-of-medians 2.2950x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.209x vs modelled ceiling 1.031x,ABOVE CEILING: 2.170x vs modelled ceiling 1.031x,campaign: DRIFT: paired 2.2095x vs ratio-of-medians 2.2950x differ by >2%; the machine moved during this cell; ABOVE CEILING: 2.209x vs modelled ceiling 1.031x; control: ABOVE CEILING: 2.170x vs modelled ceiling 1.031x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; inside the drift band -- nothing is shown; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,-0.0179,,
#3 ResAdd + RMSNorm,-,f03,decode_bs4,classic,none,NOTHING-TO-DISABLE,2.1727,2.1736,1.0004,0.0008,0.0004,-0.0607,0.047,decode-minmax,NOISE-FLOOR,0.060352,0.0592,0.129344,0.129696,none,none,BN4096 ROWS1 w8 s2,BN4096 ROWS1 w32 s2,ABOVE CEILING: 2.173x vs modelled ceiling 1.250x,ABOVE CEILING: 2.174x vs modelled ceiling 1.250x,campaign: ABOVE CEILING: 2.173x vs modelled ceiling 1.250x; control: ABOVE CEILING: 2.174x vs modelled ceiling 1.250x; campaign Hopper axes selected by the tuner: fused=none / unfused=none; control Hopper axes selected by the tuner: fused=none / unfused=none; this family defines the drift band and therefore has no verdict of its own; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us,0.0004,,
#4 ResAdd + RMSNorm + Router,F4,f04f05,decode_bs4,classic,warp_specialize|clusters,ENGAGED,1.3693,1.4043,1.0256,0.035,0.0256,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.106784,0.099552,0.150464,0.143136,clusters(num_ctas=2),none,BM16 BK128 BE32 NBK256 w8 s2,BM16 BK128 BE32 NBK256 w8 s2,DRIFT: paired 1.3693x vs ratio-of-medians 1.4091x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.369x vs modelled ceiling 1.029x,DRIFT: paired 1.4043x vs ratio-of-medians 1.4378x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.404x vs modelled ceiling 1.029x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: DRIFT: paired 1.3693x vs ratio-of-medians 1.4091x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.369x vs modelled ceiling 1.029x; control: DRIFT: paired 1.4043x vs ratio-of-medians 1.4378x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.404x vs modelled ceiling 1.029x; campaign Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",0.0256,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,f04f05,decode_bs4,classic,warp_specialize|clusters,ENGAGED,1.8968,1.6766,0.8839,-0.2202,-0.1161,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.124448,0.108608,0.238656,0.19024,clusters(num_ctas=2),none,BM16 BK128 BE256 w16 s3,BM16 BK128 BE256 w16 s3,ABOVE CEILING: 1.897x vs modelled ceiling 1.029x,DRIFT: paired 1.6766x vs ratio-of-medians 1.7516x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.677x vs modelled ceiling 1.029x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.897x vs modelled ceiling 1.029x; control: DRIFT: paired 1.6766x vs ratio-of-medians 1.7516x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.677x vs modelled ceiling 1.029x; campaign Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.1161,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router,F5,f04f05,decode_bs4,classic,warp_specialize|clusters,ENGAGED,1.4241,1.4154,0.9939,-0.0087,-0.0061,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.105376,0.09728,0.150592,0.141024,clusters(num_ctas=2),none,BM16 BK128 BE32 NBK256 w8 s2,BM16 BK128 BE32 NBK256 w8 s2,ABOVE CEILING: 1.424x vs modelled ceiling 1.015x,DRIFT: paired 1.4154x vs ratio-of-medians 1.4497x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.415x vs modelled ceiling 1.015x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.424x vs modelled ceiling 1.015x; control: DRIFT: paired 1.4154x vs ratio-of-medians 1.4497x differ by >2%; the machine moved during this cell; ABOVE CEILING: 1.415x vs modelled ceiling 1.015x; campaign Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0061,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
#5 RMSNorm + Router + TopK,F5_topk,f04f05,decode_bs4,classic,warp_specialize|clusters,ENGAGED,1.9584,1.7789,0.9083,-0.1795,-0.0917,-0.0607,0.047,decode-minmax,TENANT-CONTAMINATED,0.115712,0.109536,0.225152,0.193152,clusters(num_ctas=2),none,BM16 BK128 BE256 NBK256 w16 s3,BM16 BK128 BE256 NBK256 w16 s3,ABOVE CEILING: 1.958x vs modelled ceiling 1.015x,ABOVE CEILING: 1.779x vs modelled ceiling 1.015x,"EXCLUDED (TENANT-CONTAMINATED) -- RE-MEASURE: measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log.; campaign: ABOVE CEILING: 1.958x vs modelled ceiling 1.015x; control: ABOVE CEILING: 1.779x vs modelled ceiling 1.015x; campaign Hopper axes selected by the tuner: fused=none / unfused=clusters(num_ctas=2); control Hopper axes selected by the tuner: fused=none / unfused=none; EXCLUDED and marked for RE-MEASUREMENT: this family was measured while another process held the card, and the campaign baseline it is diffed against was measured on an idle card. A neighbour holding most of a 143.8 GB card does not add noise to a memory-bound ratio, it removes the comparison. The delta is printed for inspection and enters no band, no aggregate and no verdict; campaign card b2318e71 floor 36.9 us / control card b2318e71 floor 39.5 us",-0.0917,TENANT-CONTAMINATED,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
